#Classification	SRR20002469_bracken_P.kreport
k__Bacteria	91129
k__Bacteria|p__Proteobacteria	89702
k__Bacteria|p__Actinobacteria	1207
k__Bacteria|p__Firmicutes	175
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Bacteroidetes	33
k__Bacteria|p__Fusobacteria	2
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	199
k__Eukaryota|k__Metazoa	172
k__Eukaryota|k__Metazoa|p__Chordata	172
k__Eukaryota|k__Fungi	16
k__Eukaryota|k__Fungi|p__Basidiomycota	16
k__Eukaryota|k__Viridiplantae	11
k__Eukaryota|k__Viridiplantae|p__Streptophyta	11
k__Viruses	7
k__Viruses|k__Heunggongvirae	7
k__Viruses|k__Heunggongvirae|p__Uroviricota	7
