#Classification	S-8-POLPIL-G_bracken_C.kreport
k__Bacteria	25087
k__Bacteria|p__Proteobacteria	23387
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	17887
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3976
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	1523
k__Bacteria|p__Actinobacteria	899
k__Bacteria|p__Actinobacteria|c__Actinomycetia	899
k__Bacteria|p__Acidobacteria	709
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	709
k__Bacteria|p__Bacteroidetes	59
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	52
k__Bacteria|p__Bacteroidetes|c__Cytophagia	7
k__Bacteria|p__Planctomycetes	31
k__Bacteria|p__Planctomycetes|c__Planctomycetia	31
k__Eukaryota	6136
k__Eukaryota|k__Viridiplantae	5519
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5519
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	5508
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	11
k__Eukaryota|k__Metazoa	612
k__Eukaryota|k__Metazoa|p__Chordata	612
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	612
k__Eukaryota|k__Fungi	4
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	4
