#Classification	S-11-POLJUN-G_bracken_C.kreport
k__Bacteria	59889
k__Bacteria|p__Proteobacteria	59179
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	35770
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	17150
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6257
k__Bacteria|p__Actinobacteria	272
k__Bacteria|p__Actinobacteria|c__Actinomycetia	272
k__Bacteria|p__Firmicutes	244
k__Bacteria|p__Firmicutes|c__Bacilli	232
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	11
k__Bacteria|p__Acidobacteria	126
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	126
k__Bacteria|p__Bacteroidetes	62
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	55
k__Bacteria|p__Bacteroidetes|c__Cytophagia	6
k__Bacteria|p__Planctomycetes	4
k__Bacteria|p__Planctomycetes|c__Planctomycetia	4
k__Eukaryota	1345
k__Eukaryota|k__Viridiplantae	1159
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1159
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	1148
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	10
k__Eukaryota|k__Metazoa	183
k__Eukaryota|k__Metazoa|p__Chordata	183
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	183
k__Eukaryota|k__Fungi	3
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	3
