#Classification	GQ3_bracken_P.kreport
k__Bacteria	4877971
k__Bacteria|p__Firmicutes	3355329
k__Bacteria|p__Actinobacteria	973835
k__Bacteria|p__Tenericutes	5
k__Bacteria|p__Bacteroidetes	194079
k__Bacteria|p__Proteobacteria	332228
k__Bacteria|p__Fusobacteria	18874
k__Bacteria|p__Candidatus_Saccharibacteria	3145
k__Bacteria|p__Spirochaetes	406
k__Bacteria|p__Synergistetes	64
k__Bacteria|p__Verrucomicrobia	3
k__Eukaryota	4049
k__Eukaryota|k__Metazoa	3316
k__Eukaryota|k__Metazoa|p__Chordata	3316
k__Eukaryota|k__Fungi	395
k__Eukaryota|k__Fungi|p__Basidiomycota	395
k__Eukaryota|k__Viridiplantae	337
k__Eukaryota|k__Viridiplantae|p__Streptophyta	337
k__Viruses	79
k__Viruses|k__Heunggongvirae	79
k__Viruses|k__Heunggongvirae|p__Uroviricota	75
k__Viruses|k__Heunggongvirae|p__Peploviricota	4
