#Classification	S-2-POLJUN-G_bracken_O.kreport
k__Bacteria	997841
k__Bacteria|p__Proteobacteria	794363
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	528595
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	405776
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	95904
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	18693
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	5068
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	2951
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	90
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	26
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	59
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	190232
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	183606
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	3960
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	1445
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1220
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	71938
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	49603
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	10151
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	7750
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	916
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	807
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	1343
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	133
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	70
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	346
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	221
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	57
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	23
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	75
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	273
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	43
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	26
