#Classification	S-13-POLJUN-G_bracken_P.kreport
k__Bacteria	19591
k__Bacteria|p__Proteobacteria	18067
k__Bacteria|p__Cyanobacteria	1027
k__Bacteria|p__Actinobacteria	150
k__Bacteria|p__Firmicutes	180
k__Bacteria|p__Bacteroidetes	116
k__Bacteria|p__Acidobacteria	48
k__Eukaryota	2005
k__Eukaryota|k__Viridiplantae	1483
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1483
k__Eukaryota|k__Metazoa	516
k__Eukaryota|k__Metazoa|p__Chordata	516
k__Eukaryota|k__Fungi	5
k__Eukaryota|k__Fungi|p__Ascomycota	3
k__Eukaryota|k__Fungi|p__Basidiomycota	1
