#Classification	NS29_bracken_P.kreport
k__Bacteria	2316953
k__Bacteria|p__Firmicutes	1569073
k__Bacteria|p__Actinobacteria	643897
k__Bacteria|p__Bacteroidetes	102615
k__Bacteria|p__Proteobacteria	1351
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Spirochaetes	5
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	2984
k__Eukaryota|k__Fungi	2929
k__Eukaryota|k__Fungi|p__Ascomycota	2929
k__Eukaryota|k__Viridiplantae	54
k__Eukaryota|k__Viridiplantae|p__Streptophyta	54
k__Viruses	78
k__Viruses|k__Heunggongvirae	78
k__Viruses|k__Heunggongvirae|p__Uroviricota	78
