#Classification	GQ3_bracken_F.kreport
k__Bacteria	4877959
k__Bacteria|p__Firmicutes	3355325
k__Bacteria|p__Firmicutes|c__Bacilli	3227280
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	3226149
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	3027074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	65992
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1234
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae	167
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	131680
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1131
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	1117
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	13
k__Bacteria|p__Firmicutes|c__Negativicutes	67266
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	66189
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	66189
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1077
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	1077
k__Bacteria|p__Firmicutes|c__Clostridia	58036
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	58036
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII._Incertae_Sedis	55659
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	776
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	1259
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	331
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	9
k__Bacteria|p__Firmicutes|c__Tissierellia	2708
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	2708
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	2708
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	32
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	32
