feature	X1XD42.69	X43.108	AF33.28	Acetatifactor	Acidaminococcus	Actinomyces	Acutalibacter	Adlercreutzia	Agathobacter	Agathobaculum	Akkermansia	Alangreenwoodia	Alistipes	Amedibacillus	Anaerobutyricum	Anaerococcus	Anaerofustis	Anaeromassilibacillus	Anaerostipes	Anaerotardibacter	Anaerotignum	Anaerotruncus	Angelakisella	Avimicrobium	Avimonas	Bacteroides	Bariatricus	Barnesiella	Bianquea	Bifidobacterium	Bilophila	Bittarella	Blautia	Bradyrhizobium	Bulleidia	Butyribacter	Butyricicoccus	Butyricimonas	CAG.103	CAG.170	CAG.177	CAG.194	CAG.217	CAG.238	CAG.245	CAG.269	CAG.273	CAG.274	CAG.302	CAG.317	CAG.41	CAG.95	CAJFUH01	CAJFUR01	CAKTAA01	CAKTFW01	CAKTXU01	COE1	Campylobacter	Catenibacillus	Catenibacterium	Choladocola	Choladousia	Christensenella	Clostridium	Clostridium.AP	Clostridium.AQ	Collinsella	Coprobacillus	Coprococcus	Copromonas	DXTB01	Desulfovibrio	Dialister	Dielma	Diplocloster	Dorea	Dysosmobacter	ER4	Egerieenecus	Egerieimonas	Egerieisoma	Eggerthella	Eisenbergiella	Emergencia	Enterenecus	Enterocloster	Escherichia	Eubacterium	Evtepia	Ezakiella	F23.B02	Faecalibacillus	Faecalibacterium	Faecalimonas	Faecalitalea	Faecivicinus	Faecousia	Fenollaria	Fimadaptatus	Fimenecus	Fimisoma	Flavonifractor	Flemingibacterium	Fournierella	Frisingicoccus	Fusicatenibacter	Geddesella	Gemella	Gemmiger	Gordonibacter	Guopingia	HGM11616	HGM13006	Haemophilus	Heritagella	Holdemanella	Holdemania	Hominisplanchenecus	Hungatella	Hydrogeniiclostridium	Instestinimonas	Intestinibacter	Intestinimonas	JAGTTR01	JAGZHZ01	JAGZMM01	JAHZGC01	JAHZIE01	JAJEQR01	JANFXS01	KLE1615	Klebsiella	Lachnoclostridium	Lachnospira	Lactobacillus	Lactococcus	Lactonifactor	Lawsonibacter	Lentihominibacter	Ligaoa	Ligilactobacillus	Limiplasma	Limivivens	Limosilactobacillus	Limousia	Longibaculum	Longicatena	Luoshenia	Marvinbryantia	Massiliimalia	Massilimicrobiota	Massilioclostridium	Massilistercora	Mediterranea	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Merdimonas	Merdisoma	Merdivicinus	Mesorhizobium	Metalachnospira	Monoglobus	Muricomes	NSJ.51	Nanosynbacter	Negativibacillus	Neoanaerotignum	Neobittarella	Odoribacter	Oliverpabstia	Onthomonas	Oxalobacter	Parabacteroides	Paralachnospira	Paraprevotella	Pararuminococcus	Parasutterella	Paratractidigestivibacter	Pauljensenia	PeH17	Peptoniphilus	Phascolarctobacterium	Phil1	Phil12	Phocaeicola	Phocea	Porphyromonas	Prevotella	Pseudobutyricicoccus	Pseudoflavonifractor	Pseudolachnospira	Pseudoruminococcus	Pseudoscilispira	Pullichristensenella	QALW01	QAMM01	QANA01	QAND01	RUG115	RUG705	Ralstonia	Raoultibacter	Romboutsia	Roseburia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	SFEL01	Sarcina	Scatomonas	Scatomorpha	Schaedlerella	Sellimonas	Senegalimassilia	Slackia	Staphylococcus	Streptococcus	Sutterella	Terrisporobacter	Thomasclavelia	Turicibacter	UBA11524	UBA11774	UBA1417	UBA3402	UBA3818	UBA4285	UBA644	UBA737	UBA738	UBA9414	UMGS1071	UMGS1264	UMGS1312	UMGS1370	UMGS1590	UMGS1623	UMGS1696	UMGS1766	UMGS1783	UMGS1975	UMGS856	UMGS911	Veillonella	Ventricola	Ventrimonas	Ventrisoma	Vescimonas	Wujia	Yeguia	Zhenpiania
NS10	0	0	0	0	154	0	0	97	30433	4337	0	0	346	491	14483	0	72	0	29175	6172	1656	0	0	0	0	2045	36161	175	0	56800	74	0	139956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	1937	0	0	0	0	0	0	0	0	0	0	1594	1030	0	5636	1922	216	88224	0	1560	3586	0	0	19151	0	0	71788	1044	1681	0	0	0	0	5253	0	0	29278	234	34216	745	0	0	1178	31504	0	0	0	0	0	0	35984	0	340	0	0	0	29538	0	0	16770	917	0	0	0	0	184	0	0	395	0	0	0	0	0	346	0	0	0	0	0	0	1384	0	0	0	0	57	0	435	389	0	0	0	1464	0	0	0	270	0	0	0	325	0	0	0	21207	0	35984	0	0	0	0	0	0	0	0	0	0	5509	0	988	384	18285	1084	120	531	0	377	0	0	0	0	0	0	130	0	0	4234	0	0	5051	0	0	0	0	0	0	0	0	0	0	0	31094	0	206	316	3695	0	1397	1195	0	0	81	0	882	0	1320	0	0	125	0	0	424	0	0	113	36560	280	0	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	2705	0	0	0	0	0
NS11	0	2110	114	1591	2169	0	523	0	15793	2144	3128	114	18550	0	2741	0	0	0	2955	0	0	128	0	84	312	160886	3716	0	0	25017	335	0	17326	0	0	0	0	7129	9174	0	33570	0	0	159	0	0	0	0	0	215	261	0	243	0	0	0	254	0	0	0	9663	1437	319	202	4674	0	0	9603	0	155	1111	0	5557	0	0	179	6400	4763	4737	0	0	0	160	1117	0	0	4470	959	3633	1144	0	0	0	43609	104	160	0	541	0	0	58	156	326	0	130	0	1469	0	0	25334	113	0	0	0	0	0	3430	401	0	86	319	0	0	264	240	0	0	97	222	166	0	119	0	115	1429	0	63	0	2411	310	0	1216	0	529	0	0	0	0	0	0	0	0	0	0	0	6061	0	21910	0	0	229	102	0	0	0	263	0	0	1103	0	0	12527	1427	1094	1501	63359	0	0	75	165	0	0	0	0	11315	0	264	148331	91	0	334123	0	111	80	0	142	0	0	222	0	0	1211	0	0	0	174	1740	1100	0	4290	0	0	55	0	140	0	470	0	0	238	2819	0	135	0	0	0	9318	592	106	408	0	140	0	0	0	0	0	0	659	498	0	219	0	0	272	0	0	0	86	50	10318	0	560	85
NS13	0	2149	0	8906	0	0	0	0	38327	2007	0	0	11804	0	79788	70	0	0	75765	0	180	568	0	0	0	153509	24924	0	0	0	0	0	406842	0	0	718	0	434	0	0	0	0	0	0	0	0	0	0	0	0	1690	0	128	398	0	0	0	0	0	0	43351	338	306	0	5905	2793	2969	0	0	2440	863	0	0	53	0	50	52672	1271	0	0	0	0	4108	1197	0	0	14356	0	10384	0	464	0	943	70080	1056	0	0	0	170	0	0	0	1638	0	0	0	40192	0	0	39144	0	0	0	0	0	0	0	1136	0	779	0	0	759	0	0	0	0	0	0	660	0	0	0	714	400	0	0	201	791	1445	0	0	0	5554	0	0	0	0	0	0	0	0	0	0	7991	1064	0	0	0	0	0	0	0	0	836	300	0	0	0	0	0	608	3879	2661	0	0	0	0	0	0	0	91	0	155	0	0	0	40310	0	0	1704	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	2353	0	1764	362	0	0	96	0	701	0	0	0	0	2027	0	0	1546	230	0	0	849	1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715	729	0	271	0	0	227
NS21	0	4742	0	5311	0	0	0	0	58008	4452	0	0	160	0	4315	0	0	471	34774	0	54	168	0	0	0	276234	10307	0	0	2143	1649	0	60719	0	0	804	0	9216	3997	0	0	0	6888	0	0	0	0	0	0	0	5930	0	750	0	0	0	0	1777	0	0	0	6532	354	0	26826	183	484	125	765	0	15239	747	0	8992	744	0	8487	8314	0	0	0	0	1232	1337	0	0	49579	2367	4879	1163	0	0	614	193120	1143	0	0	0	0	0	0	0	26289	0	209	0	15873	0	0	27448	0	0	0	0	122	0	0	1618	0	1174	1211	0	3117	0	0	0	0	0	0	371	212	0	0	0	8055	0	0	0	2574	0	0	0	0	0	0	0	230	922	0	0	0	0	0	0	0	26412	0	0	0	0	557	0	0	0	0	367	173	0	0	0	0	1176	365	4110	0	14149	0	0	0	0	0	0	0	0	0	0	0	272140	259	0	543	0	668	0	0	2192	0	0	0	0	0	0	0	0	0	156	163446	0	8271	5308	0	0	0	0	170	73	0	0	0	2953	0	62	187	0	0	268	12513	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	0	0	0	0	8715	0	1888	0	0	0	0	0
NS25	0	3994	0	5704	0	0	0	0	34637	23954	0	0	14412	0	5084	0	0	0	10705	0	49864	495	0	496	0	445238	16228	0	0	7188	7865	1025	51248	0	0	2326	1017	14152	0	0	0	0	0	0	0	0	0	0	0	0	7496	0	2863	0	0	0	0	0	0	275	0	8046	471	0	32391	1529	2187	0	0	0	107673	1352	0	0	0	0	12254	16592	0	0	0	0	674	2671	0	0	62476	0	4367	5425	0	0	2897	302318	522	0	0	0	0	0	0	0	63136	0	0	0	14562	0	0	46033	0	0	0	0	0	0	0	17294	0	873	878	0	278	0	0	0	0	0	0	666	601	660	0	1828	10461	0	0	0	46765	586	0	0	0	243	0	0	299	0	0	0	202	0	0	0	5352	13897	0	0	0	0	0	0	0	2015	30239	201	0	0	0	0	96	8043	0	6011	557	33480	70	1222	0	577	0	0	0	0	26563	0	0	337378	129	0	1020	0	1015	0	0	2446	0	0	0	0	0	0	0	0	0	1441	3169	0	14447	2426	0	117	0	0	156	0	0	0	0	155	272	124	0	114	0	0	14981	1858	0	0	0	0	0	0	1396	0	0	0	0	0	0	0	0	0	0	0	2924	0	5307	0	295	0	0	0
NS27	0	1174	0	534	0	0	0	85	65624	1334	6506	0	10526	0	21176	0	0	0	35287	0	124	0	56	0	0	131909	1807	0	0	130885	0	0	59925	0	0	755	0	532	0	582	0	0	11144	103	12517	0	0	3921	0	1037	5495	0	0	0	0	0	0	0	0	0	16927	205	523	0	4995	0	411	9741	0	4312	1897	0	0	7652	0	0	13471	1790	2829	0	0	0	137	1521	0	0	3835	0	6581	278	0	0	0	138719	0	0	0	309	0	0	0	0	231	0	0	0	17646	0	0	6283	109	0	0	95	315	0	5644	417	2598	0	0	0	1718	0	0	0	0	0	0	1195	0	6727	0	841	4514	313	0	0	0	0	0	0	0	2443	0	0	0	0	0	0	0	0	0	0	871	8469	0	649	0	0	3749	0	0	0	0	321	0	0	0	0	0	2310	13281	1565	0	14423	0	3431	0	0	440	0	0	0	0	0	0	94559	0	0	0	0	0	0	246	0	0	0	0	0	0	408	0	0	0	2314	28549	0	24955	147	0	108	91	0	595	0	609	161	0	12549	68	0	0	0	0	1577	104869	1229	0	0	0	0	0	0	1243	0	0	0	0	0	0	0	0	0	0	0	973	534	875	0	0	0	0	322
NS28	568	285	0	34187	0	0	0	0	12896	2173	43933	0	15003	0	9078	0	0	504	7895	104	180	0	666	101	0	45569	1445	14459	53	15281	730	0	15451	0	0	1874	0	1145	4428	13728	6963	3758	0	294	16248	827	0	0	5436	108	622	2311	0	0	0	0	0	194	421	0	0	3187	1073	0	9381	0	0	957	0	9753	5808	0	0	22936	0	0	3682	7747	5844	413	0	0	0	916	0	0	2328	425	4656	551	0	1007	1905	121134	79	0	218	3307	190	0	80	0	157	120	0	0	1698	0	0	6726	0	0	0	90	71	0	2657	0	898	186	0	306	417	0	519	0	0	0	409	420	0	1782	0	392	23584	0	0	0	874	81	187	0	538	1439	0	0	0	0	0	143	0	0	0	0	143	5799	0	196	0	0	1483	0	0	638	0	82	103	0	0	272	0	4117	1473	1529	301	17727	0	1169	0	55	548	0	13101	0	4088	212	129	21284	0	102	706301	0	0	0	365	88	0	0	0	69	0	2737	0	0	0	94	19522	366	9673	208	214	0	57	0	82	0	66	200	0	1020	3685	0	0	0	2647	1331	10567	928	237	247	150	2216	861	0	0	0	155	0	0	242	1052	138	0	67	225	85	72	5085	1878	0	8406	48553	0	0
NS29	0	1300	0	0	0	0	1926	0	47777	433	0	0	3132	0	544	0	2358	2783	20802	0	0	1344	132	291	1515	15343	879	0	0	183922	404	111	203391	0	0	0	129	0	0	0	355	0	70	0	0	0	0	0	0	0	166	0	1282	0	0	0	0	0	0	397	0	0	0	0	58946	19196	3830	21480	1050	149	2942	126	0	9260	138	254	440	7334	74	0	0	0	8789	19937	362	0	56913	0	40490	7279	0	0	1627	63824	4631	0	0	0	0	0	0	386	3127	0	1246	0	1465	0	0	35878	1088	219	995	0	0	0	0	0	0	6516	0	0	11304	141	0	5806	171	0	0	0	371	0	0	1346	1781	0	1037	0	3864	7773	0	0	0	0	0	293	1521	18534	58	0	728	513	644	0	0	3027	0	0	0	128	0	0	0	0	4102	1215	0	0	0	0	0	854	7771	6237	376	97	518	0	96	0	0	165	0	0	0	0	0	47331	0	0	615	0	308	0	201	414	0	0	1847	387	0	0	0	0	0	15108	11838	0	126905	32828	0	0	770	0	2161	25040	0	0	0	2953	80	428	25281	132	0	816	602	1947	0	0	0	0	0	117	1425	0	0	596	0	0	0	289	0	722	0	0	0	1785	873	0	0	0	0	893
NS30	0	408	0	1771	0	0	0	0	224759	926	0	0	752	467	19019	0	0	124	30026	0	0	0	0	0	0	32803	0	131	0	68039	0	0	229153	0	0	0	0	0	67	0	227	0	112	0	0	0	0	0	0	0	5942	0	0	0	0	0	0	0	0	0	0	0	0	0	7342	274	1527	18869	0	6659	11579	0	0	1838	0	0	43789	1834	712	0	0	0	1877	18577	0	0	36070	19782	22578	0	0	0	0	59262	10580	0	0	0	0	0	67	0	208	0	0	0	58890	0	0	1020	361	0	0	0	0	0	0	2172	0	208	0	0	3317	0	0	3398	0	0	0	0	0	8213	0	645	7134	0	0	0	0	0	0	0	0	376	0	0	0	1294	0	0	0	254	0	0	0	67476	0	0	0	0	0	0	0	67	442	0	0	338	0	0	0	0	3750	1043	0	108	0	0	0	12990	0	165	0	0	0	0	0	6344	0	0	1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3328	170054	0	11429	252	0	0	0	0	842	2001	0	0	0	2037	0	130	1629	0	0	0	2551	8135	0	0	0	0	0	0	4084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS32	885	495	88	22507	0	0	285	53	33472	2903	3271	611	8251	0	8061	0	0	1090	3031	53	1187	194	1664	146	90	56726	3946	2065	0	11577	1939	63	35693	0	0	839	0	0	8625	13741	17385	5129	0	745	10381	7750	8850	0	4982	0	2732	742	184	60	0	0	0	0	332	68	0	3042	1245	0	6445	0	239	3635	0	63422	2443	0	1324	47229	80	112	10704	11569	13909	329	0	166	0	13048	0	286	4790	516	6300	868	0	356	275	171225	0	0	0	1438	159	164	86798	0	200	658	0	151	12050	92	0	10959	213	364	0	0	0	0	0	171	3371	251	0	110	313	0	484	0	0	0	0	267	0	2088	0	534	4345	0	0	0	930	381	0	4021	1317	2928	0	0	0	0	0	0	66	0	0	0	1205	11301	0	0	0	0	3365	95	0	311	0	572	226	0	508	159	0	4184	1814	1889	1163	5842	81	0	199	216	0	0	523	0	1095	926	0	38713	0	0	207985	407	0	0	0	262	70	0	310	0	0	0	0	0	0	454	27783	1163	19943	2116	616	0	0	352	0	0	476	0	0	587	419	0	0	132	581	370	5522	1550	1533	0	106	103	650	0	1392	0	69	0	0	0	360	445	0	2186	355	0	0	2814	931	0	8263	157	243	76
