feature	X1XD42.69	X43.108	AF33.28	Acetatifactor	Acidaminococcus	Actinomyces	Acutalibacter	Adlercreutzia	Agathobacter	Agathobaculum	Akkermansia	Alangreenwoodia	Alistipes	Amedibacillus	Anaerobutyricum	Anaerococcus	Anaerofustis	Anaeromassilibacillus	Anaerostipes	Anaerotardibacter	Anaerotignum	Anaerotruncus	Angelakisella	Avimicrobium	Avimonas	Bacteroides	Bariatricus	Barnesiella	Bianquea	Bifidobacterium	Bilophila	Bittarella	Blautia	Bradyrhizobium	Bulleidia	Butyribacter	Butyricicoccus	Butyricimonas	CAG.103	CAG.170	CAG.177	CAG.194	CAG.217	CAG.238	CAG.245	CAG.269	CAG.273	CAG.274	CAG.302	CAG.317	CAG.41	CAG.95	CAJFUH01	CAJFUR01	CAKTAA01	CAKTFW01	CAKTXU01	COE1	Campylobacter	Catenibacillus	Catenibacterium	Choladocola	Choladousia	Christensenella	Clostridium	Clostridium.AP	Clostridium.AQ	Collinsella	Coprobacillus	Coprococcus	Copromonas	DXTB01	Desulfovibrio	Dialister	Dielma	Diplocloster	Dorea	Dysosmobacter	ER4	Egerieenecus	Egerieimonas	Egerieisoma	Eggerthella	Eisenbergiella	Emergencia	Enterenecus	Enterocloster	Escherichia	Eubacterium	Evtepia	Ezakiella	F23.B02	Faecalibacillus	Faecalibacterium	Faecalimonas	Faecalitalea	Faecivicinus	Faecousia	Fenollaria	Fimadaptatus	Fimenecus	Fimisoma	Flavonifractor	Flemingibacterium	Fournierella	Frisingicoccus	Fusicatenibacter	Geddesella	Gemella	Gemmiger	Gordonibacter	Guopingia	HGM11616	HGM13006	Haemophilus	Heritagella	Holdemanella	Holdemania	Hominisplanchenecus	Hungatella	Hydrogeniiclostridium	Instestinimonas	Intestinibacter	Intestinimonas	JAGTTR01	JAGZHZ01	JAGZMM01	JAHZGC01	JAHZIE01	JAJEQR01	JANFXS01	KLE1615	Klebsiella	Lachnoclostridium	Lachnospira	Lactobacillus	Lactococcus	Lactonifactor	Lawsonibacter	Lentihominibacter	Ligaoa	Ligilactobacillus	Limiplasma	Limivivens	Limosilactobacillus	Limousia	Longibaculum	Longicatena	Luoshenia	Marvinbryantia	Massiliimalia	Massilimicrobiota	Massilioclostridium	Massilistercora	Mediterranea	Mediterraneibacter	Megamonas	Megasphaera	Merdibacter	Merdimonas	Merdisoma	Merdivicinus	Mesorhizobium	Metalachnospira	Monoglobus	Muricomes	NSJ.51	Nanosynbacter	Negativibacillus	Neoanaerotignum	Neobittarella	Odoribacter	Oliverpabstia	Onthomonas	Oxalobacter	Parabacteroides	Paralachnospira	Paraprevotella	Pararuminococcus	Parasutterella	Paratractidigestivibacter	Pauljensenia	PeH17	Peptoniphilus	Phascolarctobacterium	Phil1	Phil12	Phocaeicola	Phocea	Porphyromonas	Prevotella	Pseudobutyricicoccus	Pseudoflavonifractor	Pseudolachnospira	Pseudoruminococcus	Pseudoscilispira	Pullichristensenella	QALW01	QAMM01	QANA01	QAND01	RUG115	RUG705	Ralstonia	Raoultibacter	Romboutsia	Roseburia	Ruminiclostridium	Ruminococcus	Ruthenibacterium	SFEL01	Sarcina	Scatomonas	Scatomorpha	Schaedlerella	Sellimonas	Senegalimassilia	Slackia	Staphylococcus	Streptococcus	Sutterella	Terrisporobacter	Thomasclavelia	Turicibacter	UBA11524	UBA11774	UBA1417	UBA3402	UBA3818	UBA4285	UBA644	UBA737	UBA738	UBA9414	UMGS1071	UMGS1264	UMGS1312	UMGS1370	UMGS1590	UMGS1623	UMGS1696	UMGS1766	UMGS1783	UMGS1975	UMGS856	UMGS911	Veillonella	Ventricola	Ventrimonas	Ventrisoma	Vescimonas	Wujia	Yeguia	Zhenpiania
NS10	0	0	0	0	0.0137774545075511	0	0	0.0105378944007575	0.185988847863568	0.069389165366128	0	0	0.0198460923457174	0.0234277603195306	0.127382375976965	0	0.00923155188725526	0	0.182356276587667	0.0838775360684746	0.0435805521344985	0	0	0	0	0.0476753655670313	0.202652178858517	0.0146848807235799	0	0.255692025205127	0.00850346299534618	0	0.409019494385754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171210629881946	0.0465916786138629	0	0	0	0	0	0	0	0	0	0	0.0432380574044581	0.0338104507694798	0	0.0799102453716135	0.047253075389958	0.0156223062194283	0.320533992038611	0	0.0434170865429021	0.064101912827218	0	0	0.14780697349801	0	0	0.286618689913116	0.0349382254000387	0.0426207150392232	0	0	0	0	0.0764018227528251	0	0	0.182265754104836	0.0165065962427045	0.197155516789886	0.028638008020045	0	0	0.0367235323797717	0.189718906131793	0	0	0	0	0	0	0.203733372246015	0	0.0201047188800969	0	0	0	0.18281185815786	0	0	0.137973022506467	0.031638791619775	0	0	0	0	0.0136834034600953	0	0	0.0209848390816016	0	0	0	0	0	0.0184988310382997	0	0	0	0	0	0	0.0380543413428243	0	0	0	0	0.00770690124100013	0	0.0221525588135503	0.0215316524393466	0	0	0	0.0402657510214114	0	0	0	0.0177506515508318	0	0	0	0.0199110637507131	0	0	0	0.155193714252873	0	0.202639079763053	0	0	0	0	0	0	0	0	0	0	0.0779638254237002	0	0.0330568037249576	0.0213811618067558	0.144735538663325	0.0342471472634008	0.0117543459424118	0.0242140226964668	0	0.020892312989921	0	0	0	0	0	0	0.0113633380079865	0	0	0.0693611578377201	0	0	0.0763678831680034	0	0	0	0	0	0	0	0	0	0	0	0.188070192650466	0	0.0152880742703218	0.0188103757739396	0.0648749084026743	0	0.0397325515966704	0.0371434355499054	0	0	0.00827255126241026	0	0.0311448870871976	0	0.0384093024344553	0	0	0.0115883864246888	0	0	0.0221816925412753	0	0	0.0107801857772268	0.203821327355442	0.0181107809890374	0	0	0	0	0	0	0.0325248350800831	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0543799316624522	0	0	0	0	0
NS11	0	0.0435406906892182	0.0109340709754997	0.0391181511240171	0.0446909417882857	0	0.0214796348329506	0	0.120819743623721	0.0437047344677749	0.0532736116918767	0.00967280297916369	0.131440701971008	0	0.0490633032426777	0	0	0	0.0521124096861614	0	0	0.0111109210029916	0	0.00789776950708234	0.017734125143333	0.394238248196664	0.0587153731165428	0	0	0.151520185495385	0.0174385054691704	0	0.127058877086743	0	0	0	0	0.081305274601928	0.091863659819712	0	0.175846503659923	0	0	0.011736597867464	0	0	0	0	0	0.015037315534051	0.0162422591595274	0	0.0149940393460122	0	0	0	0.0151664034269786	0	0	0	0.0938900096221705	0.0357477392753076	0.0170998281381893	0.0129976017428526	0.065689955804506	0	0	0.0938969702539862	0	0.0127451832962726	0.0323081916769525	0	0.0717414678732814	0	0	0.012591304081845	0.0763389638063673	0.0662529556696475	0.0651921165587026	0	0	0	0.0124355212935099	0.0320252155829502	0	0	0.0644887222429037	0.0297520538229625	0.0566265244359127	0.0326285921302159	0	0	0	0.201210922365891	0.0092609917452685	0.0124355212935099	0	0.0220765005753568	0	0	0.00664694335692921	0.0124876647775074	0.0170236518846672	0	0.0111692488675707	0	0.0369464555106619	0	0	0.152024479632973	0.0107543135900496	0	0	0	0	0	0.056844576074233	0.0187667668941383	0	0.00890327886758778	0.0169854356949429	0	0	0.0167543087872347	0.0142382395214019	0	0	0.0096053937849735	0.014731713552502	0.0114564353448108	0	0.0106937231095435	0	0.0107543135900496	0.0362535080125055	0	0.00806063074097698	0	0.0461378925006176	0.0174012000409836	0	0.0338607526425513	0	0.0216904050004203	0	0	0	0	0	0	0	0	0	0	0	0.0744707315432016	0	0.141324358835335	0	0	0.014731713552502	0.00904806104208094	0	0	0	0.0142838050982938	0	0	0.0317806620569228	0	0	0.106533381151247	0.0362535080125055	0.0315754225810677	0.0367523292805247	0.24364126283773	0	0	0.0086064115663765	0.0124355212935099	0	0	0	0	0.101248384863526	0	0.0159189702049119	0.376027369145389	0.00845406999810348	0	0.58503552863139	0	0.0107543135900496	0.00875610330399622	0	0.0112272737618121	0	0	0.0136320380984148	0	0	0.0332796912089645	0	0	0	0.0123831582891146	0.0400546587439578	0.0321063200424588	0	0.0632854048120277	0	0	0.00781506637835154	0	0.0101960472576376	0	0.0204885379096587	0	0	0.0148634550150323	0.0508992670199832	0	0.0113995767662282	0	0	0	0.0922681997944476	0.0230275527417191	0.00946913606003254	0.0191438993899687	0	0.0111692488675707	0	0	0	0	0	0	0.0241570964092974	0.0221939488318025	0	0.0140545004272862	0	0	0.0149940393460122	0	0	0	0.00875610330399622	0.00711893935327771	0.0968644907707146	0	0.0223689657603791	0.00973974570042287
NS13	0	0.0436036364286953	0	0.0860019585806557	0	0	0	0	0.180264804775644	0.0410839805393816	0	0	0.0997002293174458	0	0.261891616517743	0.00736558622224719	0	0	0.255778431608627	0	0.0110192354154103	0.0216852021859448	0	0	0	0.366391336494936	0.146289050865093	0	0	0	0	0	0.624440188398728	0	0	0.0248246161882427	0	0.0195216867050035	0	0	0	0	0	0	0	0	0	0	0	0	0.0373240674612566	0	0.0110776956929702	0.0185023316817088	0	0	0	0	0	0	0.191151987698831	0.0169727427531431	0.0167813685960123	0	0.070486189834809	0.047792787940758	0.0500796354423805	0	0	0.0446007385297907	0.0270659516271908	0	0	0.00652888172316032	0	0.00579519228651629	0.211972896048844	0.032867000966569	0	0	0	0	0.0585174810471401	0.0318280553546817	0	0	0.110408439744505	0	0.0940377351986048	0	0.0199472442126988	0	0.0286659794068541	0.245000459464392	0.0294224483331056	0	0	0	0.012346128203646	0	0	0	0.0373759907010126	0	0	0	0.184340052812262	0	0	0.183254576048719	0	0	0	0	0	0	0	0.0307540806290182	0	0.0265841980736657	0	0	0.0240042357184455	0	0	0	0	0	0	0.023349330589891	0	0	0	0.0243781462873031	0.0183621446673955	0	0	0.0133030688559838	0.0263645399148457	0.0343290250502517	0	0	0	0.0692059893495512	0	0	0	0	0	0	0	0	0	0	0.0822375120595262	0.0290244180961108	0	0	0	0	0	0	0	0	0.0266570156124689	0.0157487943805855	0	0	0	0	0	0.0226184775808211	0.0566058545180077	0.0470012805321332	0	0	0	0	0	0	0	0.00770835952605676	0	0.0112512544508891	0	0	0	0.185226897309343	0	0	0.0378913172509609	0	0.00811649643283296	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447888401262863	0	0.0378230119471907	0.018078511234569	0	0	0.00842878998295492	0	0.0244575268564491	0	0	0	0	0.0411625944527427	0	0	0.0357494530630106	0.0142410906785784	0	0	0.0267054504366981	0.0345167936870817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024954411934159	0.0251606936036178	0	0.0158713651924532	0	0	0.0141043639322623
NS21	0	0.0575510584103111	0	0.0614151571559114	0	0	0	0	0.202393857186807	0.0557920265495188	0	0	0.00957733268146982	0	0.0544653386512176	0	0	0.0187464332313147	0.156862352490745	0	0.00662752535145198	0.0106017246797764	0	0	0	0.453483507924193	0.085485581241697	0	0	0.039152731636248	0.0338382974715026	0	0.207506008704462	0	0	0.022591457488457	0	0.0796137987987146	0.0531421977020508	0	0	0	0.0693043442538071	0	0	0	0	0	0	0	0.0626367166292346	0	0.0225628377248058	0	0	0	0	0.0360580191019484	0	0	0	0.0669359386044943	0.0156263424123268	0	0.137338922309148	0.0120289645399266	0.0179001962747125	0.00909294850305992	0.0218647353993158	0	0.103125285265681	0.0231564308655731	0	0.0781501633174277	0.0222165269555717	0	0.0761921559173574	0.076243202453253	0	0	0	0	0.0295341029610723	0.0306087489937317	0	0	0.187118278349482	0.0398403218636036	0.0577307546907337	0.0274236141029208	0	0	0.0207113711492645	0.37382472991126	0.0283733787932273	0	0	0	0	0	0	0	0.13499998264524	0	0.0126058698154624	0	0.104522683839756	0	0	0.138859600142624	0	0	0	0	0.0101025193951441	0	0	0.0337809387420665	0	0.0280757090996537	0.0291153516673466	0	0.0462694031668889	0	0	0	0	0	0	0.0153342123735483	0.0119751408208811	0	0	0	0.0751467476709648	0	0	0	0.0405800591236975	0	0	0	0	0	0	0	0.0126058698154624	0.0247481228714231	0	0	0	0	0	0	0	0.135931608341205	0	0	0	0	0.020077758944362	0	0	0	0	0.0162346496593826	0.0110784613309918	0	0	0	0	0.0290931453567547	0.0165499435215415	0.0541076785762252	0	0.0979108198469949	0	0	0	0	0	0	0	0	0	0	0	0.449092377877666	0.0139672643941538	0	0.0197206015169868	0	0.0205862080316946	0	0	0.0386373928114626	0	0	0	0	0	0	0	0	0	0.00977758363604289	0.342125799759781	0	0.0757568824010804	0.0601904485005014	0	0	0	0	0.0110784613309918	0.00736609528517007	0	0	0	0.0451371720207703	0	0.0065293329565899	0.0119210741365836	0	0	0.0131083194826687	0.0932881622878126	0	0	0	0	0	0	0	0.0180797608209411	0	0	0	0	0	0	0	0	0	0	0	0.0776422855436601	0	0.0367682077035258	0	0	0	0	0
NS25	0	0.0441552482449138	0	0.0536253024304316	0	0	0	0	0.133171399075785	0.109973966964738	0	0	0.0843556415772432	0	0.0503791745000773	0	0	0	0.0735055232518936	0	0.159193829076205	0.0156635839196188	0	0.0161506923398345	0	0.491465821511706	0.0908662467575652	0	0	0.0614308909451267	0.062475637365078	0.0227281436437733	0.160953958037818	0	0	0.0328804357810528	0.0228415213413333	0.084960979297595	0	0	0	0	0	0	0	0	0	0	0	0	0.0617461614892497	0	0.0374897689097733	0	0	0	0	0	0	0.0115325359721669	0	0.0625377699788062	0.0163493729059078	0	0.127832461251562	0.0278373760253705	0.0329981189974565	0	0	0	0.233952157916453	0.027013049954259	0	0	0	0	0.0782625763695613	0.091115954535605	0	0	0	0	0.0182881876770607	0.0359589676788556	0	0	0.178272586382216	0	0.046215495754798	0.0518094682341937	0	0	0.0383419436587976	0.399777868113641	0.015745814800427	0	0	0	0	0	0	0	0.179419537619766	0	0	0	0.085985648636226	0	0	0.152322888016437	0	0	0	0	0	0	0	0.0937501270767926	0	0.0201047188800969	0.0219475406157058	0	0.0119720478158837	0	0	0	0	0	0	0.01742017347097	0.0172338375506775	0.017931619986926	0	0.0303464576595158	0.0727880541963236	0	0	0	0.154579548793201	0.0173458792111693	0	0	0	0.0101636347467959	0	0	0.0129562823983304	0	0	0	0.0107201262574898	0	0	0	0.0514461816697519	0.083147472451224	0	0	0	0	0	0	0	0.0322655785816285	0.122898968852017	0.0101636347467959	0	0	0	0	0.00652764658131962	0.063818515090697	0	0.0546883423833029	0.0168166353085206	0.128636703111683	0.00691195494925275	0.025360499561367	0	0.0167010449049619	0	0	0	0	0.115630676340885	0	0	0.42424482192439	0.00762266864259008	0	0.0225570093612057	0	0.0223845676571229	0	0	0.0349751925928777	0	0	0	0	0	0	0	0	0	0.0261133686143159	0.0402978398776004	0	0.085577238823836	0.0345476856473959	0	0.00779022319024951	0	0	0.00865398217511381	0	0	0	0	0.00880192799945207	0.0126026138855025	0.00727599411318857	0	0.00803500689915402	0	0	0.0859781029486604	0.0307482607825985	0	0	0	0	0	0	0.0269172355125926	0	0	0	0	0	0	0	0	0	0	0	0.0372303203691806	0	0.0514964419883305	0	0.0118091475966432	0	0	0
NS27	0	0.0329840414168709	0	0.0232238482778711	0	0	0	0.0085855847870568	0.246734340803085	0.0348350449698329	0.0771194696669435	0	0.0983182883061919	0	0.13966814613067	0	0	0	0.17875376647371	0	0.0114287112253753	0	0.00672766590708812	0	0	0.354255600244366	0.0408230720352465	0	0	0.352939951373876	0	0	0.235565011072584	0	0	0.0267691061524051	0	0.0216379091651546	0	0.0242857897812388	0	0	0.101983983800687	0.0101076002773207	0.107348172869102	0	0	0.0599835073543943	0	0.0306241474075333	0.0710215677151121	0	0	0	0	0	0	0	0	0	0.124003251175552	0.0132131583440964	0.0219936815614116	0	0.0669793351968005	0	0.0204072835375288	0.0939948647599923	0	0.0618666229850034	0.0412018691526627	0	0	0.0835070470984924	0	0	0.110778282575054	0.039762819306946	0.0513972459183537	0	0	0	0.0106678448686965	0.0366810013063596	0	0	0.0585509949858369	0	0.0782476476805565	0.0155096144472079	0	0	0	0.363448292333962	0	0	0	0.0164799702733897	0	0	0	0	0.0144296277442132	0	0	0	0.127443994795294	0	0	0.0767059116808058	0.00827885000144629	0	0	0.010171373451068	0.016322249506346	0	0.0715675665668611	0.0197959705026932	0.0481709526289703	0	0	0	0.0403124852073596	0	0	0	0	0	0	0.0328267298044608	0	0.0786779243528804	0	0.0283420371186606	0.0645437550139474	0.0171340999814654	0	0	0	0	0	0	0	0.0468073650146495	0	0	0	0	0	0	0	0	0	0	0.0281358558682428	0.0880445822966517	0	0.0244715208776303	0	0	0.0585620622972589	0	0	0	0	0.0166750242694694	0	0	0	0	0	0.0458711579986376	0.110454154539359	0.0382359748597689	0	0.114346790418301	0	0.0558317205990578	0	0	0.0205021413842092	0	0	0	0	0	0	0.299012316249567	0	0	0	0	0	0	0.0152997152864111	0	0	0	0	0	0	0.018893285913573	0	0	0	0.046180656164993	0.162848974393326	0	0.150785417416431	0.0114851521243453	0	0.010728288712231	0.00866057135069723	0	0.0237198791538658	0	0.0235831385897312	0.0123007332637584	0	0.108134406468159	0.00779615466827641	0	0	0	0	0.0385562458070422	0.313771413034584	0.0333352823030624	0	0	0	0	0	0	0.0332380871629501	0	0	0	0	0	0	0	0	0	0	0	0.0300267805312101	0.0222567814552918	0.0280437337024506	0	0	0	0	0.0167137620112453
NS28	0.0187832921449163	0.0153058521203019	0	0.154245394088638	0	0	0	0	0.0950066346800907	0.0387256488190038	0.176803319020336	0	0.102180856837394	0	0.0791185121566213	0	0	0.0187832921449163	0.0739705458877838	0.00867737258015884	0.0101580242145704	0	0.0213219844649182	0.00809542377081549	0	0.178518740973376	0.0320404887345646	0.101477661780478	0.0067833810779913	0.103151943453473	0.0227462768465688	0	0.103457807039972	0	0	0.0364035422196467	0	0.0273670049209142	0.0560034128742211	0.0988570871265815	0.0699155556483554	0.0509209467350289	0	0.0143172437788984	0.106277306748065	0.0239704459350246	0	0	0.0613733124329794	0.00834979789624499	0.0212892519685756	0.0394222135880985	0	0	0	0	0	0.011984362124512	0.0173955308111171	0	0	0.0473391991544218	0.027822005791555	0	0.0800335266539551	0	0	0.0259542354389874	0	0.0828537356644976	0.0620978988270547	0	0	0.12608484590423	0	0	0.0507010332218267	0.0732003452817575	0.0646892666168823	0.0163200647508025	0	0	0	0.0247435775230883	0	0	0.0402630180079904	0.0174755188089653	0.0559410039294013	0.0190413981194481	0	0.0265388796581766	0.0373309924792877	0.295000045408589	0.00727916474539435	0	0.0122718120012348	0.0506183201832387	0.0115095224977665	0	0.00737432297825385	0	0.0110142345940328	0.00922267679577267	0	0	0.0345346693517587	0	0	0.0689789276781714	0	0	0	0.0081810939178381	0.00624838464835761	0	0.0425389623088194	0	0.0251628409619451	0.0115699430428465	0	0.0147962475252293	0.016447744904184	0	0.0189680117714316	0	0	0	0.0166164595869255	0.0172748546669233	0	0.035313839915894	0	0.0162343869808926	0.127314030934981	0	0	0	0.0246588701351968	0.00737432297825385	0.0110773565081773	0	0.0184839032788725	0.0310452172664789	0	0	0	0	0	0.0110773565081773	0	0	0	0	0.00959322309239548	0.0629031332978388	0	0.0114487831464698	0	0	0.0310452172664789	0	0	0.0203856295431308	0	0.00727916474539435	0.00800883734770277	0	0	0.0137203890209719	0	0.0535940436637093	0.0323223141334476	0.0332165116790622	0.0132551273666512	0.110973758135634	0	0.0283189982833121	0	0.00708501540473425	0.0196186136960583	0	0.0961952577651612	0	0.0536852001390329	0.012881647381409	0.00980883489865878	0.120993671290799	0	0.00851516043941223	0.778673010123295	0	0	0	0.0161913781432559	0.00774327142351456	0	0	0	0.00718274604102307	0	0.0438479908605212	0	0	0	0.0081810939178381	0.118096856217248	0.0166583713681263	0.0820979889547147	0.0120424009147258	0.0130430195183996	0	0.00578487472098719	0	0.00746826892130083	0	0.007921304601586	0.0121001613768984	0	0.0258195172515949	0.0509346599121755	0	0	0	0.0415259880261914	0.0302946049676658	0.0867769930526962	0.0254385144721051	0.0139721765157715	0.0132551273666512	0.0106930381816338	0.0396516882272986	0.0244600797163077	0	0	0	0.0100198087060029	0	0	0.0123849244072659	0.0266438016046365	0.0104289620949499	0	0.0078327938065883	0.0124410950445851	0.00746826892130083	0.00667981037378341	0.0579772333203842	0.0372374110782365	0	0.0769839708955639	0.184661399436181	0	0
NS29	0	0.031846080633966	0	0	0	0	0.0383829761117458	0	0.196022624300803	0.0179053799422942	0	0	0.0494900478010925	0	0.0209885780988935	0	0.0431057013356581	0.0464426152824596	0.12928362042068	0	0	0.0329133211022394	0.00968647631457983	0.0144400223471213	0.0348007259359886	0.111830216601333	0.0266772228318937	0	0	0.392993444970189	0.0163849765372837	0.00941355472491226	0.41340825578499	0	0	0	0.0114156912401553	0	0	0	0.016932647789224	0	0.00823188619825644	0	0	0	0	0	0	0	0.011863554953814	0	0.0321517192906399	0	0	0	0	0	0	0.0167779939183158	0	0	0	0	0.219457345735047	0.123803471410302	0.055390277101236	0.131080631275856	0.0288378791207127	0.0104001512776535	0.0473332735754789	0.00920355454821823	0	0.0855908168941035	0.00948252147738354	0.0135073453890706	0.0191369379840749	0.0760782773281124	0.00807202502404369	0	0	0	0.0845750711139568	0.125823755784138	0.0163849765372837	0	0.214620662573759	0	0.180675838713502	0.074795108988088	0	0	0.036608872243567	0.227619820303026	0.0601274464811895	0	0	0	0	0	0	0.0181583719749014	0.0496217434705425	0	0.0316200706206933	0	0.0346505000322796	0	0	0.16974714519056	0.0305290483145501	0.0135073453890706	0.0292642538734135	0	0	0	0	0	0	0.0716243089227342	0	0	0.0960918790728782	0.0107088397079964	0	0.0682213613962246	0.011472630201216	0	0	0	0.0172755596199107	0	0	0.0327146161877726	0.036608872243567	0	0.0302501529129934	0	0.0556959046191797	0.0774333068521019	0	0	0	0	0	0.0139347753146727	0.0356339669768035	0.121782791515459	0.00665633922563218	0	0.0249604164056847	0.020132713556412	0.022254632591881	0	0	0.0487459988806391	0	0	0	0.0107695158455305	0	0	0	0	0.0576658133769135	0.0304863071928064	0	0	0	0	0	0.0258834900389135	0.0791877205781531	0.0694274775869146	0.0172377950440572	0.00823188619825644	0.0203580576786729	0	0.00948252147738354	0	0	0.0112431446470552	0	0	0	0	0	0.195650532899627	0	0	0.0220486694114635	0	0.0156527064337777	0	0.0124006632934536	0.0192049285602546	0	0	0.0387381671496875	0.0170477178522354	0	0	0	0	0	0.110095548247646	0.098357869718439	0	0.322842070115003	0.163415445305116	0	0	0.0242450788587021	0	0.0418307548911393	0.141217193913834	0	0	0	0.0480855431377693	0.00807202502404369	0.0184785607720127	0.142214392240124	0.0101464420337576	0	0.0257572619362727	0.0222839006052875	0.0396040072122461	0	0	0	0	0	0.00934407901727311	0.0342149325432893	0	0	0.0215705176943908	0	0	0	0.015058573008718	0	0.024432546255021	0	0	0	0.0383149480930989	0.0261590498190429	0	0	0	0	0.0262088406068933
NS30	0	0.0174951351272825	0	0.0370758648175601	0	0	0	0	0.434909008863059	0.0265320116264218	0	0	0.024873305983649	0.0190841090513235	0.123936474318212	0	0	0.01010047744731	0.154533119968527	0	0	0	0	0	0	0.160938587595403	0	0.00977560736933475	0	0.235056866942015	0	0	0.43862334869069	0	0	0	0	0	0.00611959502378317	0	0.0138716472221637	0	0.00977560736933475	0	0	0	0	0	0	0	0.0685667449299871	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0768881738607412	0.0147733886541439	0.0334086276410594	0.123340301703695	0	0.0729166651691526	0.0962240530321857	0	0	0.0376981629206439	0	0	0.186152125447852	0.0376295259528329	0.0235390930839692	0	0	0	0.0388298346964982	0.120386463586259	0	0	0.168526193339468	0.125775838863244	0.134565175015631	0	0	0	0	0.218928756227341	0.091965125554088	0	0	0	0	0	0.007873105636007	0	0.0138250167287198	0	0	0	0.218248594129456	0	0	0.028276403669026	0.0169323880554723	0	0	0	0	0	0	0.0416100945367878	0	0.0123966853306229	0	0	0.0504974102299228	0	0	0.0517249190844033	0	0	0	0	0	0.0817439855354407	0	0.0212915532512485	0.0756987425669604	0	0	0	0	0	0	0	0	0.0179326273478213	0	0	0	0.0326060242397139	0	0	0	0.0143296109119321	0	0	0	0.232860861722614	0	0	0	0	0	0	0	0.007873105636007	0.0189141466700163	0	0	0.0171220248045824	0	0	0	0	0.0542281200357638	0.0294185335096149	0	0.0103530372769099	0	0	0	0.100873140312371	0	0.0109590053916549	0	0	0	0	0	0.070605368365277	0	0	0.0325465212058195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050369167919678	0.37482126804978	0	0.0949326725072568	0.0140106077901295	0	0	0	0	0.026164260220727	0.0392931355502445	0	0	0	0.0400910572541691	0	0.010036344623168	0.0364252244030217	0	0	0	0.0456975393602503	0.0807461988556358	0	0	0	0	0	0	0.0562428015969836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS32	0.0283170670358629	0.0204319548068373	0.00887604224858935	0.140934771820946	0	0	0.0156857049156946	0.00770929669597603	0.172408444859066	0.04992683841183	0.0535400302688735	0.023009858135735	0.0846822812585405	0	0.0834765949057793	0	0	0.0300007335559537	0.0506700193852046	0.00788654869553402	0.0331751144901663	0.0133531581238061	0.0377029806494142	0.0109026999453524	0.00918221062603802	0.225460288339522	0.0596348645686442	0.0415440139425787	0	0.10246030109654	0.0401035211487501	0.00779842627072762	0.177066666302992	0	0	0.0268378195184739	0	0	0.0865479070136841	0.110131161340621	0.122687634842574	0.0666889001588583	0	0.0255443267644753	0.0947647709188648	0.0821267112730069	0.0884688210789992	0	0.0652389409386187	0	0.0490738288725208	0.0245788000818858	0.0130389041271494	0.00752787259860325	0	0	0	0	0.0166684174921166	0.00822960844584816	0	0.0517514806511941	0.0334036377428671	0	0.0750541166465977	0	0.0138111416773492	0.0571800822452553	0	0.237644453262594	0.0457756192322641	0	0.0338968945827169	0.203946251235762	0.00839588382700261	0.0107108411980685	0.0967327320898744	0.100173324683306	0.110169110945296	0.0176355903223471	0	0.0113377534597179	0	0.105881615834974	0	0.0151477065389394	0.0650581001524414	0.0213258867620392	0.0747856132238625	0.0285602022765856	0	0.0175176130748773	0.0160343482613771	0.396741951886197	0	0	0	0.0355500986001261	0.0119317775388649	0.0122744031795826	0.277684491377424	0	0.0130918035232984	0.0238652541962146	0	0.0116977876225239	0.103015777219138	0.00969476954279363	0	0.0987464934230367	0.0138111416773492	0.0170780613450172	0	0	0	0	0	0.0127168885996003	0.0541316576481858	0.01505617183552	0	0.0094052992956928	0.0167511473941658	0	0.0204319548068373	0	0	0	0	0.0149178170427867	0	0.0432254133693799	0	0.0215515985697211	0.0608081980613281	0	0	0	0.0293011169930463	0.0176747411473227	0	0.059588382992158	0.0345035658402689	0.0500514656460206	0	0	0	0	0	0	0.00724722642702408	0	0	0	0.0323732793380284	0.0997418103832081	0	0	0	0	0.0542338931027103	0.00947849557380005	0	0.0165435472391189	0	0.0217432021647715	0.0127711215900172	0	0.0213258867620392	0.0120470686421051	0	0.0604654520996289	0.0383938386871692	0.041958298545099	0.0307968956386022	0.0712620865908595	0.00822960844584816	0	0.0122744031795826	0.014684330052958	0	0	0.0219331330577301	0	0.0309089610832449	0.0284631971385998	0	0.184153114592131	0	0	0.440678739005012	0.0188847786017637	0	0	0	0.0150101952261506	0.00724722642702408	0	0.0165017139207311	0	0	0	0	0	0	0.0197086785537754	0.156031101339915	0.0320943752906884	0.131392286056237	0.0426452584384466	0.0231595926990497	0	0	0.0173988362005072	0	0	0.0212609578273584	0	0	0.0231595926990497	0.0196384066112253	0	0	0.0102492156246204	0.0219646286351618	0.018061584392772	0.0694687186510708	0.0366234443791179	0.0369431223486689	0	0.00947849557380005	0.00918221062603802	0.0235737938966029	0	0.0351785007697788	0	0.00752787259860325	0	0	0	0.0177138054778256	0.0192473277819676	0	0.043592035762541	0.0169969221210378	0	0	0.0491020305944777	0.0301387103739496	0	0.0850749743428533	0.0113985487652393	0.0148714128289986	0.00847779878148374
