#Classification	S-6-POLCOM-B_bracken_P.kreport
k__Bacteria	346324
k__Bacteria|p__Proteobacteria	270245
k__Bacteria|p__Actinobacteria	59795
k__Bacteria|p__Cyanobacteria	1077
k__Bacteria|p__Firmicutes	460
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Acidobacteria	10934
k__Bacteria|p__Bacteroidetes	2945
k__Bacteria|p__Planctomycetes	782
k__Bacteria|p__Verrucomicrobia	56
k__Bacteria|p__Chlamydiae	18
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	6543
k__Eukaryota|k__Viridiplantae	3833
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3833
k__Eukaryota|k__Metazoa	1696
k__Eukaryota|k__Metazoa|p__Chordata	1696
k__Eukaryota|k__Fungi	1009
k__Eukaryota|k__Fungi|p__Ascomycota	709
k__Eukaryota|k__Fungi|p__Basidiomycota	299
k__Eukaryota|p__Euglenozoa	4
k__Viruses	5
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
