#Classification	S-18-POLPIL-G_bracken_P.kreport
k__Bacteria	52127
k__Bacteria|p__Proteobacteria	48421
k__Bacteria|p__Actinobacteria	2368
k__Bacteria|p__Cyanobacteria	8
k__Bacteria|p__Firmicutes	120
k__Bacteria|p__Bacteroidetes	785
k__Bacteria|p__Acidobacteria	385
k__Bacteria|p__Planctomycetes	36
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	4675
k__Eukaryota|k__Viridiplantae	3496
k__Eukaryota|k__Viridiplantae|p__Streptophyta	3496
k__Eukaryota|k__Metazoa	938
k__Eukaryota|k__Metazoa|p__Chordata	938
k__Eukaryota|k__Fungi	240
k__Eukaryota|k__Fungi|p__Ascomycota	168
k__Eukaryota|k__Fungi|p__Basidiomycota	72
