#Classification	S-26-POLPIL-B_bracken_C.kreport
k__Bacteria	37150
k__Bacteria|p__Proteobacteria	24292
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	18169
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3992
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2129
k__Bacteria|p__Proteobacteria|c__Oligoflexia	1
k__Bacteria|p__Actinobacteria	5702
k__Bacteria|p__Actinobacteria|c__Actinomycetia	5702
k__Bacteria|p__Firmicutes	2458
k__Bacteria|p__Firmicutes|c__Bacilli	2458
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	1
k__Bacteria|p__Acidobacteria	4504
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	4504
k__Bacteria|p__Bacteroidetes	147
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	145
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	1
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1
k__Bacteria|p__Planctomycetes	41
k__Bacteria|p__Planctomycetes|c__Planctomycetia	41
k__Bacteria|p__Chlamydiae	2
k__Bacteria|p__Chlamydiae|c__Chlamydiia	2
k__Eukaryota	310
k__Eukaryota|k__Metazoa	199
k__Eukaryota|k__Metazoa|p__Chordata	199
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	199
k__Eukaryota|k__Fungi	13
k__Eukaryota|k__Fungi|p__Ascomycota	13
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	3
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	10
k__Eukaryota|k__Viridiplantae	97
k__Eukaryota|k__Viridiplantae|p__Streptophyta	97
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	82
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	14
