feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Comamonadaceae	Group	eczema	-0.00302527406541179	0.00265922057037272	69	11	0.259316885459276	0.783037548866205
Enterobacteriaceae	Group	eczema	-0.087488322940066	0.0534141496209755	69	9	0.106125949247365	0.783037548866205
FGB796	Group	eczema	-0.0141478082652676	0.0132681374015264	69	15	0.290115661735746	0.783037548866205
Micrococcaceae	Group	eczema	0.0275249370481876	0.0167118034894993	69	23	0.104233498392784	0.783037548866205
Prevotellaceae	Group	eczema	0.0449899868849438	0.0390064258904231	69	7	0.252844607314646	0.783037548866205
Staphylococcaceae	Group	eczema	-0.113633717718505	0.111828067465836	69	32	0.313215019546482	0.783037548866205
Streptococcaceae	Group	eczema	-0.0346516888152356	0.0333435358295835	69	18	0.302432483064248	0.783037548866205
Thermaceae	Group	eczema	-0.0268113246031039	0.0231257585691697	69	19	0.250420356773081	0.783037548866205
Alicyclobacillaceae	Group	eczema	-0.00197449848513487	0.00286268199055682	69	10	0.492741553838041	0.827118386101889
Corynebacteriaceae	Group	eczema	0.0693889055314273	0.0897626988695766	69	18	0.442225660140851	0.827118386101889
Propionibacteriaceae	Group	eczema	0.0380159135086991	0.0487962533441692	69	63	0.438678985834683	0.827118386101889
Pseudomonadaceae	Group	eczema	0.0683092392590084	0.099852613989921	69	68	0.496271031661133	0.827118386101889
Alcaligenaceae	Group	eczema	-0.00674887758953702	0.0119395242299201	69	13	0.573788228650856	0.882751121001318
Lactobacillaceae	Group	eczema	-0.00463567672159957	0.0109680217068475	69	9	0.673901223128175	0.914906065453515
Moraxellaceae	Group	eczema	-0.00510251858743185	0.0148329760168277	69	45	0.731924852362812	0.914906065453515
Oxalobacteraceae	Group	eczema	0.00164743883234774	0.00410207237243706	69	23	0.68924824679696	0.914906065453515
Bacillaceae	Group	eczema	-0.000891414826610509	0.00527836584166829	69	14	0.866399193655552	0.946434714844103
Burkholderiaceae	Group	eczema	-0.00195689117230588	0.0148947618827636	69	55	0.895867507008431	0.946434714844103
FGB1056	Group	eczema	0.00126530702435896	0.00994241361575116	69	17	0.899112979101898	0.946434714844103
Burkholderiales.unclassified	Group	eczema	-0.0014627711652584	0.0252508920526625	69	63	0.95397722336913	0.95397722336913
