#Classification	SRR20002411_bracken_C.kreport
k__Bacteria	3863981
k__Bacteria|p__Proteobacteria	3475315
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2940833
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	431041
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	103213
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	141
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	26
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	52
k__Bacteria|p__Proteobacteria|c__Oligoflexia	5
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	2
k__Bacteria|p__Firmicutes	212589
k__Bacteria|p__Firmicutes|c__Bacilli	211190
k__Bacteria|p__Firmicutes|c__Clostridia	753
k__Bacteria|p__Firmicutes|c__Negativicutes	219
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	218
k__Bacteria|p__Firmicutes|c__Tissierellia	206
k__Bacteria|p__Actinobacteria	162817
k__Bacteria|p__Actinobacteria|c__Actinomycetia	161484
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	880
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	329
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	67
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	55
k__Bacteria|p__Deinococcus-Thermus	2322
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	2322
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	8
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Tenericutes|c__Mollicutes	3
k__Bacteria|p__Bacteroidetes	10156
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3918
k__Bacteria|p__Bacteroidetes|c__Cytophagia	3545
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2424
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	232
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	36
k__Bacteria|p__Gemmatimonadetes	105
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	105
k__Bacteria|p__Chlamydiae	230
k__Bacteria|p__Chlamydiae|c__Chlamydiia	230
k__Bacteria|p__Planctomycetes	81
k__Bacteria|p__Planctomycetes|c__Planctomycetia	78
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	3
k__Bacteria|p__Verrucomicrobia	21
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	20
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Fusobacteria	178
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	178
k__Bacteria|p__Spirochaetes	132
k__Bacteria|p__Spirochaetes|c__Spirochaetia	132
k__Bacteria|p__Acidobacteria	10
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	7
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	3
k__Bacteria|p__Candidatus_Saccharibacteria	6
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	6
k__Bacteria|p__Nitrospirae	4
k__Bacteria|p__Nitrospirae|c__Nitrospira	4
k__Eukaryota	33835
k__Eukaryota|k__Viridiplantae	20306
k__Eukaryota|k__Viridiplantae|p__Streptophyta	20306
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	20306
k__Eukaryota|k__Fungi	11901
k__Eukaryota|k__Fungi|p__Basidiomycota	8865
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	8847
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	15
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota	3036
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	2417
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	602
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	16
k__Eukaryota|k__Metazoa	1524
k__Eukaryota|k__Metazoa|p__Chordata	1524
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1524
k__Eukaryota|p__Euglenozoa	82
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	82
k__Eukaryota|p__Apicomplexa	20
k__Eukaryota|p__Apicomplexa|c__Conoidasida	11
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	8
k__Archaea	108
k__Archaea|p__Euryarchaeota	108
k__Archaea|p__Euryarchaeota|c__Halobacteria	108
k__Viruses	337
k__Viruses|k__Heunggongvirae	337
k__Viruses|k__Heunggongvirae|p__Uroviricota	337
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	337
