#Classification	GQ21_bracken_P.kreport
k__Bacteria	895075
k__Bacteria|p__Firmicutes	659814
k__Bacteria|p__Actinobacteria	148087
k__Bacteria|p__Tenericutes	7
k__Bacteria|p__Proteobacteria	73284
k__Bacteria|p__Bacteroidetes	8682
k__Bacteria|p__Candidatus_Saccharibacteria	2099
k__Bacteria|p__Fusobacteria	3035
k__Bacteria|p__Spirochaetes	62
k__Bacteria|p__Synergistetes	1
k__Eukaryota	2237
k__Eukaryota|k__Metazoa	2225
k__Eukaryota|k__Metazoa|p__Chordata	2225
k__Eukaryota|k__Viridiplantae	12
k__Eukaryota|k__Viridiplantae|p__Streptophyta	12
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Peploviricota	1
