name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp022829385	118327	S	2	30	32	0.05704
Methylobacterium sp022829365	118326	S	2	34	36	0.06417
Methylobacterium sp022829515	118331	S	1	18	19	0.03387
Lichenihabitans flavocetrariae	118233	S	1	2	3	0.00535
Acidisoma sp009765865	113615	S	8	36	44	0.07843
Lichenicoccus roseus	113922	S	6	48	54	0.09626
LMUY01 sp009765685	113921	S	1	31	32	0.05704
Sphingomonas_N sp937859915	125357	S	5	40	45	0.08021
Caballeronia sp001557535	126764	S	6	178	184	0.32799
Caballeronia sordidicola_C	126762	S	1	8	9	0.01604
Caballeronia telluris	126783	S	1	23	24	0.04278
Pararobbsia sp026225235	128132	S	1	1	2	0.00357
Variovorax sp009765735	129478	S	1	64	65	0.11586
Granulicella_D aggregans_A	40206	S	1	5	6	0.01070
