#Classification	SRR20002484_bracken_P.kreport
k__Bacteria	363150
k__Bacteria|p__Proteobacteria	281989
k__Bacteria|p__Actinobacteria	34204
k__Bacteria|p__Deinococcus-Thermus	21102
k__Bacteria|p__Firmicutes	24822
k__Bacteria|p__Chloroflexi	4
k__Bacteria|p__Cyanobacteria	2
k__Bacteria|p__Bacteroidetes	980
k__Bacteria|p__Verrucomicrobia	12
k__Bacteria|p__Chlamydiae	8
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Fusobacteria	9
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Aquificae	4
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Acidobacteria	2
k__Eukaryota	9840
k__Eukaryota|k__Metazoa	6740
k__Eukaryota|k__Metazoa|p__Chordata	6740
k__Eukaryota|k__Fungi	2356
k__Eukaryota|k__Fungi|p__Basidiomycota	1959
k__Eukaryota|k__Fungi|p__Ascomycota	397
k__Eukaryota|p__Apicomplexa	435
k__Eukaryota|k__Viridiplantae	295
k__Eukaryota|k__Viridiplantae|p__Streptophyta	295
k__Eukaryota|p__Euglenozoa	11
k__Archaea	18
k__Archaea|p__Euryarchaeota	18
k__Viruses	112
k__Viruses|k__Heunggongvirae	112
k__Viruses|k__Heunggongvirae|p__Uroviricota	112
