#Classification	GQ34_bracken_O.kreport
k__Bacteria	10001896
k__Bacteria|p__Firmicutes	5962932
k__Bacteria|p__Firmicutes|c__Clostridia	5510668
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	5510668
k__Bacteria|p__Firmicutes|c__Bacilli	255348
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	255266
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	82
k__Bacteria|p__Firmicutes|c__Negativicutes	185713
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	184860
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	851
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	1
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	10415
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	10415
k__Bacteria|p__Firmicutes|c__Tissierellia	787
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales	787
k__Bacteria|p__Actinobacteria	95441
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	82537
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	48026
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	34510
k__Bacteria|p__Actinobacteria|c__Actinomycetia	12904
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	10701
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	1558
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	537
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	83
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	23
k__Bacteria|p__Bacteroidetes	3811563
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	3811563
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	3811563
k__Bacteria|p__Proteobacteria	131210
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	89399
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	89394
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	5
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	39337
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	39012
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	322
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	2
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2425
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2425
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	48
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	6
k__Bacteria|p__Fusobacteria	725
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	725
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	725
k__Bacteria|p__Spirochaetes	20
k__Bacteria|p__Spirochaetes|c__Spirochaetia	20
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	20
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	3
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	3
k__Eukaryota	306
k__Eukaryota|k__Fungi	190
k__Eukaryota|k__Fungi|p__Ascomycota	190
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	190
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	190
k__Eukaryota|k__Viridiplantae	115
k__Eukaryota|k__Viridiplantae|p__Streptophyta	115
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	115
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Poales	110
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Rosales	3
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Solanales	2
k__Archaea	2
k__Archaea|p__Euryarchaeota	2
k__Archaea|p__Euryarchaeota|c__Halobacteria	2
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	2
k__Viruses	3443
k__Viruses|k__Heunggongvirae	3443
k__Viruses|k__Heunggongvirae|p__Uroviricota	3443
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	3443
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes|o__Caudovirales	3443
