#Classification	SRR5091544_bracken_P.kreport
k__Bacteria	7583772
k__Bacteria|p__Firmicutes	6630467
k__Bacteria|p__Actinobacteria	418863
k__Bacteria|p__Deinococcus-Thermus	81
k__Bacteria|p__Proteobacteria	357046
k__Bacteria|p__Bacteroidetes	177050
k__Bacteria|p__Verrucomicrobia	217
k__Bacteria|p__Spirochaetes	20
k__Bacteria|p__Candidatus_Saccharibacteria	12
k__Bacteria|p__Fusobacteria	9
k__Bacteria|p__Synergistetes	3
k__Eukaryota	5044196
k__Eukaryota|k__Viridiplantae	5044130
k__Eukaryota|k__Viridiplantae|p__Streptophyta	5044130
k__Eukaryota|k__Fungi	46
k__Eukaryota|k__Fungi|p__Basidiomycota	14
k__Eukaryota|k__Fungi|p__Ascomycota	32
k__Eukaryota|k__Metazoa	19
k__Eukaryota|k__Metazoa|p__Chordata	19
k__Archaea	4
k__Archaea|p__Candidatus_Thermoplasmatota	3
k__Archaea|p__Euryarchaeota	1
k__Viruses	1254
k__Viruses|k__Heunggongvirae	1254
k__Viruses|k__Heunggongvirae|p__Uroviricota	1254
