#Classification	S-9-POLPIL-B_bracken_C.kreport
k__Bacteria	24059
k__Bacteria|p__Proteobacteria	20091
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	11320
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	3559
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	5208
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2
k__Bacteria|p__Actinobacteria	2961
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2961
k__Bacteria|p__Acidobacteria	697
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	697
k__Bacteria|p__Planctomycetes	183
k__Bacteria|p__Planctomycetes|c__Planctomycetia	183
k__Bacteria|p__Bacteroidetes	124
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	124
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	1
k__Eukaryota	1397
k__Eukaryota|k__Metazoa	716
k__Eukaryota|k__Metazoa|p__Chordata	716
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	716
k__Eukaryota|k__Fungi	82
k__Eukaryota|k__Fungi|p__Ascomycota	79
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	16
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	2
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	58
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	1
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Ustilaginomycetes	3
k__Eukaryota|k__Viridiplantae	599
k__Eukaryota|k__Viridiplantae|p__Streptophyta	599
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	588
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	11
