#Classification	S-6-DICUND-G_bracken_P.kreport
k__Bacteria	300704
k__Bacteria|p__Cyanobacteria	121076
k__Bacteria|p__Actinobacteria	48246
k__Bacteria|p__Firmicutes	1962
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Deinococcus-Thermus	135
k__Bacteria|p__Proteobacteria	118928
k__Bacteria|p__Acidobacteria	8403
k__Bacteria|p__Planctomycetes	937
k__Bacteria|p__Verrucomicrobia	53
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Bacteroidetes	950
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Eukaryota	21349
k__Eukaryota|k__Viridiplantae	18280
k__Eukaryota|k__Viridiplantae|p__Streptophyta	18270
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	9
k__Eukaryota|k__Metazoa	2369
k__Eukaryota|k__Metazoa|p__Chordata	2369
k__Eukaryota|k__Fungi	697
k__Eukaryota|k__Fungi|p__Ascomycota	653
k__Eukaryota|k__Fungi|p__Basidiomycota	44
k__Eukaryota|p__Euglenozoa	2
