#Classification	GQ17b_bracken_P.kreport
k__Bacteria	8441732
k__Bacteria|p__Firmicutes	5783084
k__Bacteria|p__Actinobacteria	414361
k__Bacteria|p__Tenericutes	9
k__Bacteria|p__Bacteroidetes	1672597
k__Bacteria|p__Proteobacteria	422217
k__Bacteria|p__Fusobacteria	135333
k__Bacteria|p__Candidatus_Saccharibacteria	13943
k__Bacteria|p__Spirochaetes	173
k__Bacteria|p__Synergistetes	10
k__Eukaryota	6964
k__Eukaryota|k__Metazoa	4595
k__Eukaryota|k__Metazoa|p__Chordata	4595
k__Eukaryota|k__Viridiplantae	2365
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2365
k__Eukaryota|p__Apicomplexa	3
k__Viruses	175
k__Viruses|k__Heunggongvirae	175
k__Viruses|k__Heunggongvirae|p__Uroviricota	165
k__Viruses|k__Heunggongvirae|p__Peploviricota	10
