#Classification	S-9-POLPIL-G_bracken_P.kreport
k__Bacteria	10951
k__Bacteria|p__Proteobacteria	10478
k__Bacteria|p__Actinobacteria	289
k__Bacteria|p__Cyanobacteria	55
k__Bacteria|p__Acidobacteria	107
k__Bacteria|p__Bacteroidetes	11
k__Bacteria|p__Planctomycetes	10
k__Eukaryota	3371
k__Eukaryota|k__Viridiplantae	2694
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2694
k__Eukaryota|k__Fungi	401
k__Eukaryota|k__Fungi|p__Ascomycota	401
k__Eukaryota|k__Metazoa	274
k__Eukaryota|k__Metazoa|p__Chordata	274
