feature	Acidaminococcaceae	Akkermansiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Eggerthellaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales.Family.XIII.Incertae.Sedis	Eubacteriales.incertae.sedis	Eubacteriales.unclassified	FGB1292	FGB1354	FGB14936	FGB1765	FGB1776	FGB4806	Lachnospiraceae	Lactobacillaceae	Odoribacteraceae	Oscillospiraceae	Peptostreptococcaceae	Prevotellaceae	Rikenellaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Veillonellaceae
NS10	0	0	0	0	0.0882352941176471	0.0735294117647059	0	0	0	0	0.0147058823529412	0	0	0.0441176470588235	0	0	0	0	0	0	0.514705882352941	0	0	0.161764705882353	0	0.0147058823529412	0	0	0	0	0.0882352941176471
NS11	0.0151515151515152	0	0.272727272727273	0	0.0454545454545455	0.0606060606060606	0	0	0	0	0.0151515151515152	0	0.0151515151515152	0	0	0.0606060606060606	0	0	0	0	0.0151515151515152	0	0.0151515151515152	0.121212121212121	0	0.272727272727273	0.0303030303030303	0	0	0.0151515151515152	0.0454545454545455
NS13	0	0	0.117647058823529	0	0	0	0.102941176470588	0	0	0	0.0147058823529412	0.0147058823529412	0	0.0294117647058824	0	0	0	0	0	0	0.691176470588235	0	0	0.0294117647058824	0	0	0	0	0	0	0
NS21	0	0	0.294117647058824	0	0	0.0294117647058824	0	0	0	0	0.0147058823529412	0	0	0.0588235294117647	0	0	0	0	0	0	0.264705882352941	0	0.0147058823529412	0.264705882352941	0.0147058823529412	0	0	0	0	0	0.0441176470588235
NS25	0.0149253731343284	0	0.358208955223881	0	0	0.0746268656716418	0	0	0	0	0	0	0.0298507462686567	0.0298507462686567	0	0	0	0	0	0	0.149253731343284	0	0	0.298507462686567	0	0	0.0298507462686567	0	0	0.0149253731343284	0
NS27	0	0	0.0735294117647059	0	0.191176470588235	0	0.0294117647058824	0	0	0	0	0	0.0147058823529412	0	0	0	0	0.0147058823529412	0	0	0.323529411764706	0	0	0.294117647058824	0	0	0.0147058823529412	0	0	0.0147058823529412	0.0294117647058824
NS28	0	0.0535714285714286	0	0.0178571428571429	0.0178571428571429	0	0	0	0	0	0	0	0	0.0178571428571429	0	0	0	0.0714285714285714	0	0	0.125	0	0	0.142857142857143	0	0.517857142857143	0	0	0.0178571428571429	0	0.0178571428571429
NS29	0	0	0	0	0.196969696969697	0.0151515151515152	0	0.0151515151515152	0	0.0303030303030303	0.106060606060606	0.0151515151515152	0.0151515151515152	0.0303030303030303	0.0151515151515152	0	0	0	0	0	0.363636363636364	0	0	0.166666666666667	0.0151515151515152	0	0	0.0151515151515152	0	0	0
NS30	0	0	0.0294117647058824	0	0.0735294117647059	0	0	0.0294117647058824	0	0	0.0147058823529412	0	0	0.0147058823529412	0	0	0	0	0	0	0.735294117647059	0	0	0.0588235294117647	0	0.0147058823529412	0	0	0.0294117647058824	0	0
NS32	0	0	0.0178571428571429	0	0.0357142857142857	0	0	0	0	0	0	0	0.0178571428571429	0	0.0178571428571429	0	0	0.0357142857142857	0.0357142857142857	0.125	0.160714285714286	0.0357142857142857	0	0.232142857142857	0	0.142857142857143	0.0357142857142857	0	0	0.0178571428571429	0.0892857142857143
NS34	0.0476190476190476	0.0158730158730159	0.444444444444444	0	0.0158730158730159	0.111111111111111	0.0476190476190476	0.0158730158730159	0.0158730158730159	0	0	0	0	0.0158730158730159	0	0	0	0	0	0	0.111111111111111	0	0.0158730158730159	0.0476190476190476	0.0158730158730159	0	0.0317460317460317	0	0	0.0476190476190476	0
NS36	0.0151515151515152	0.166666666666667	0.151515151515152	0.0151515151515152	0.0303030303030303	0.0303030303030303	0	0.0151515151515152	0	0.0151515151515152	0.0303030303030303	0	0	0.0454545454545455	0	0	0	0	0	0	0.106060606060606	0	0.0151515151515152	0.242424242424242	0	0	0.106060606060606	0	0	0.0151515151515152	0
NS38	0	0.0952380952380952	0.19047619047619	0.0158730158730159	0.19047619047619	0.0317460317460317	0	0	0	0	0	0	0	0.0158730158730159	0.0158730158730159	0.0793650793650794	0	0.0158730158730159	0.0158730158730159	0	0.111111111111111	0.0158730158730159	0	0.111111111111111	0	0	0.0476190476190476	0	0	0.0317460317460317	0.0158730158730159
NS39	0	0	0.0161290322580645	0	0.0645161290322581	0.032258064516129	0	0	0	0.0161290322580645	0.0483870967741935	0	0.0645161290322581	0.0645161290322581	0	0	0.032258064516129	0.032258064516129	0.0483870967741935	0	0.129032258064516	0	0	0.338709677419355	0	0.0161290322580645	0.0483870967741935	0.0161290322580645	0	0	0.032258064516129
NS4	0	0	0.191176470588235	0	0.0441176470588235	0.0294117647058824	0	0	0	0	0	0	0.0294117647058824	0.0147058823529412	0.0147058823529412	0	0	0	0	0	0.397058823529412	0	0	0.220588235294118	0	0	0.0147058823529412	0.0147058823529412	0.0147058823529412	0	0.0147058823529412
NS40	0	0	0.0151515151515152	0	0.0303030303030303	0.0303030303030303	0	0.0303030303030303	0	0.0151515151515152	0	0	0.0454545454545455	0.0151515151515152	0	0.272727272727273	0	0	0	0	0.181818181818182	0	0	0.287878787878788	0	0	0.0606060606060606	0	0	0	0.0151515151515152
NS41	0	0	0.0597014925373134	0.0149253731343284	0.0149253731343284	0.0149253731343284	0.0298507462686567	0.0149253731343284	0	0	0	0	0	0.0149253731343284	0	0.0447761194029851	0.0298507462686567	0	0	0	0.194029850746269	0	0.0149253731343284	0.223880597014925	0	0.313432835820896	0	0	0	0.0149253731343284	0
NS46	0	0	0.046875	0	0.046875	0	0	0	0.015625	0	0.203125	0	0.109375	0	0	0.0625	0	0.015625	0	0.015625	0.34375	0	0	0.125	0	0.015625	0	0	0	0	0
NS51	0	0	0	0	0.205882352941176	0.0294117647058824	0	0.0147058823529412	0.0147058823529412	0	0	0	0.0441176470588235	0.0441176470588235	0	0	0.0147058823529412	0	0	0.0147058823529412	0.338235294117647	0.0294117647058824	0	0.220588235294118	0.0294117647058824	0	0	0	0	0	0
NS55	0	0	0.0298507462686567	0	0.0149253731343284	0.0149253731343284	0	0	0	0.0447761194029851	0.0597014925373134	0	0.0447761194029851	0	0	0	0	0	0	0	0.597014925373134	0	0	0.194029850746269	0	0	0	0	0	0	0
NS58	0	0	0	0	0.0606060606060606	0	0	0	0	0.0151515151515152	0	0	0	0.0151515151515152	0	0	0	0	0	0	0.833333333333333	0	0	0.0454545454545455	0.0151515151515152	0	0	0.0151515151515152	0	0	0
NS6	0	0	0.191176470588235	0	0	0.0588235294117647	0	0	0	0.0147058823529412	0.0294117647058824	0	0.0147058823529412	0	0	0	0	0	0	0	0.5	0	0	0.102941176470588	0	0	0.0735294117647059	0	0	0.0147058823529412	0
NS62	0	0	0	0	0	0	0	0	0	0	0	0	0.0447761194029851	0.0298507462686567	0	0	0.0447761194029851	0	0	0	0.597014925373134	0	0	0.26865671641791	0	0	0.0149253731343284	0	0	0	0
NS67	0	0.0161290322580645	0	0	0.161290322580645	0.0161290322580645	0	0	0	0.0161290322580645	0	0.032258064516129	0.0161290322580645	0.032258064516129	0.032258064516129	0.032258064516129	0.0645161290322581	0	0	0	0.241935483870968	0.0161290322580645	0	0.193548387096774	0	0	0	0	0	0	0.129032258064516
NS7	0	0	0	0	0.227272727272727	0.0151515151515152	0	0.0303030303030303	0	0.0151515151515152	0	0	0	0	0	0	0	0	0	0	0.196969696969697	0.0606060606060606	0	0.196969696969697	0.181818181818182	0.0303030303030303	0	0	0	0	0.0454545454545455
NS70	0	0	0	0	0.0447761194029851	0.0298507462686567	0	0.0597014925373134	0	0	0.0149253731343284	0	0.0149253731343284	0	0.0149253731343284	0	0	0	0	0.0447761194029851	0.582089552238806	0	0	0.134328358208955	0	0.0298507462686567	0	0.0298507462686567	0	0	0
NS71	0.0163934426229508	0.0819672131147541	0.0655737704918033	0	0.0983606557377049	0.114754098360656	0.0327868852459016	0.0327868852459016	0	0.0163934426229508	0	0.0163934426229508	0.0163934426229508	0.0163934426229508	0	0	0	0	0	0.0327868852459016	0.295081967213115	0	0	0.131147540983607	0.0163934426229508	0	0.0163934426229508	0	0	0	0
NS72	0	0	0	0	0.238805970149254	0.0298507462686567	0	0.0149253731343284	0.0149253731343284	0.0149253731343284	0	0.0149253731343284	0.0149253731343284	0.0298507462686567	0	0.0895522388059701	0	0.0149253731343284	0	0	0.447761194029851	0.0447761194029851	0	0.0298507462686567	0	0	0	0	0	0	0
NS77	0.0597014925373134	0	0.194029850746269	0	0	0.0447761194029851	0	0	0	0.0149253731343284	0	0	0	0.0149253731343284	0.0149253731343284	0	0	0	0	0	0.17910447761194	0	0	0.313432835820896	0	0.119402985074627	0.0149253731343284	0	0.0149253731343284	0.0149253731343284	0
NS78	0	0	0	0	0.0735294117647059	0.0147058823529412	0.0441176470588235	0	0	0.0735294117647059	0.0294117647058824	0	0.0147058823529412	0	0	0	0	0.147058823529412	0.0588235294117647	0	0.397058823529412	0	0	0.102941176470588	0	0	0	0.0441176470588235	0	0	0
NS79	0	0	0.0147058823529412	0	0.102941176470588	0.0294117647058824	0	0	0	0.0294117647058824	0	0	0	0.0147058823529412	0	0	0	0	0	0.0294117647058824	0.544117647058823	0	0	0.235294117647059	0	0	0	0	0	0	0
NS81	0	0	0	0	0.0147058823529412	0.0294117647058824	0	0	0	0.0294117647058824	0	0	0.176470588235294	0	0	0	0	0	0	0	0.485294117647059	0	0	0.176470588235294	0.0735294117647059	0	0	0	0	0	0.0147058823529412
NS83	0	0	0.0149253731343284	0	0.0298507462686567	0.0597014925373134	0	0	0.0149253731343284	0.0746268656716418	0	0	0	0.0149253731343284	0	0.0746268656716418	0	0	0	0	0.373134328358209	0.0447761194029851	0	0.283582089552239	0.0149253731343284	0	0	0	0	0	0
NS86	0	0	0	0	0.0294117647058824	0.0588235294117647	0	0	0	0.0147058823529412	0	0	0	0.0147058823529412	0	0	0.0294117647058824	0	0	0	0.5	0.0147058823529412	0	0.279411764705882	0.0294117647058824	0	0	0.0147058823529412	0	0	0.0147058823529412
NS9	0	0	0.0895522388059701	0	0.0149253731343284	0.0597014925373134	0	0	0	0	0	0	0.0746268656716418	0.0149253731343284	0	0	0	0	0	0.208955223880597	0.208955223880597	0	0	0.119402985074627	0	0.0746268656716418	0.104477611940299	0.0298507462686567	0	0	0
