#Classification	S-11-POLJUN-B_bracken_C.kreport
k__Bacteria	1691793
k__Bacteria|p__Proteobacteria	1045072
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	425537
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	368061
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	240435
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	10657
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	74
k__Bacteria|p__Proteobacteria|c__Oligoflexia	96
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	162
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	41
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	6
k__Bacteria|p__Actinobacteria	480791
k__Bacteria|p__Actinobacteria|c__Actinomycetia	278493
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	5942
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	4067
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	765
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	527
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	190995
k__Bacteria|p__Firmicutes	75030
k__Bacteria|p__Firmicutes|c__Bacilli	74059
k__Bacteria|p__Firmicutes|c__Clostridia	627
k__Bacteria|p__Firmicutes|c__Negativicutes	20
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	238
k__Bacteria|p__Firmicutes|c__Limnochordia	6
k__Bacteria|p__Firmicutes|c__Tissierellia	77
k__Bacteria|p__Chloroflexi	258
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	136
k__Bacteria|p__Chloroflexi|c__Chloroflexia	24
k__Bacteria|p__Chloroflexi|c__Thermomicrobia	12
k__Bacteria|p__Chloroflexi|c__Ardenticatenia	10
k__Bacteria|p__Chloroflexi|c__Caldilineae	12
k__Bacteria|p__Chloroflexi|c__Tepidiformia	8
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	49
k__Bacteria|p__Chloroflexi|c__Anaerolineae	5
k__Bacteria|p__Deinococcus-Thermus	238
