#Classification	SRR20002427_bracken_P.kreport
k__Bacteria	5981260
k__Bacteria|p__Bacteroidetes	2395478
k__Bacteria|p__Gemmatimonadetes	6
k__Bacteria|p__Proteobacteria	2351501
k__Bacteria|p__Actinobacteria	794794
k__Bacteria|p__Firmicutes	423472
k__Bacteria|p__Tenericutes	6554
k__Bacteria|p__Deinococcus-Thermus	1897
k__Bacteria|p__Cyanobacteria	45
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Spirochaetes	3744
k__Bacteria|p__Fusobacteria	3176
k__Bacteria|p__Verrucomicrobia	311
k__Bacteria|p__Chlamydiae	52
k__Bacteria|p__Planctomycetes	39
k__Bacteria|p__Synergistetes	108
k__Bacteria|p__Candidatus_Saccharibacteria	65
k__Bacteria|p__Acidobacteria	9
k__Eukaryota	36639
k__Eukaryota|k__Viridiplantae	19872
k__Eukaryota|k__Viridiplantae|p__Streptophyta	19872
k__Eukaryota|k__Fungi	13512
k__Eukaryota|k__Fungi|p__Basidiomycota	13379
k__Eukaryota|k__Fungi|p__Ascomycota	132
k__Eukaryota|k__Metazoa	3094
k__Eukaryota|k__Metazoa|p__Chordata	3094
k__Eukaryota|p__Apicomplexa	159
k__Archaea	106
k__Archaea|p__Euryarchaeota	102
k__Archaea|p__Candidatus_Thermoplasmatota	4
k__Viruses	150
k__Viruses|k__Heunggongvirae	150
k__Viruses|k__Heunggongvirae|p__Uroviricota	150
