#Classification	S-27-POLPIL-B_bracken_O.kreport
k__Bacteria	1109002
k__Bacteria|p__Proteobacteria	619541
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	349730
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	202025
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	77836
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	47798
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	15966
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	5525
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	57
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	232
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	127
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	21
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	86
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	43
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	196463
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	189504
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	5003
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	883
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	1071
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	66021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	13462
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	8865
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	36130
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	997
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	1323
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	151
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	300
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	165
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	530
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2652
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	605
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	244
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	176
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	87
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	89
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	169
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	8
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	12
