#Classification	S-6-POLCOM-G_bracken_P.kreport
k__Bacteria	11144
k__Bacteria|p__Proteobacteria	9674
k__Bacteria|p__Actinobacteria	1210
k__Bacteria|p__Cyanobacteria	25
k__Bacteria|p__Firmicutes	2
k__Bacteria|p__Acidobacteria	198
k__Bacteria|p__Bacteroidetes	31
k__Bacteria|p__Planctomycetes	2
k__Eukaryota	753
k__Eukaryota|k__Viridiplantae	613
k__Eukaryota|k__Viridiplantae|p__Streptophyta	613
k__Eukaryota|k__Metazoa	84
k__Eukaryota|k__Metazoa|p__Chordata	84
k__Eukaryota|k__Fungi	55
k__Eukaryota|k__Fungi|p__Ascomycota	55
