#Classification	S-8-POLJUN-G_bracken_O.kreport
k__Bacteria	484846
k__Bacteria|p__Proteobacteria	359965
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	266172
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	175010
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	71566
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	13403
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	4347
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	1750
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	41
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	9
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	6
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	67908
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	64407
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	2173
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	628
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	699
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	24855
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	8446
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	4778
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	10069
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	347
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	330
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	445
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	170
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	31
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	46
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	38
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	15
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	20
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Orbales	15
