feature	Acidaminococcaceae	Actinomycetaceae	Acutalibacteraceae	Akkermansiaceae	Anaerofustaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	CAG.138	CAG.272	CAG.274	CAG.382	CAG.508	CAG.74	Campylobacteraceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Dialisteraceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	GCA.900066905	Gemellaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Megasphaeraceae	Monoglobaceae	Muribaculaceae	Nanosynbacteraceae	Oscillospiraceae	P3	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	QALW01	QAND01	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Tannerellaceae	Turicibacteraceae	UBA1255	UBA1381	UBA644	UBA660	UMGS124	UMGS1783	Veillonellaceae	Xanthobacteraceae
NS10	0.0186379379994965	0	0.293112454708639	0	0.00872826852483147	0.0427569909006873	0.0217999193726726	0	0.115928867278956	0.0138242401456025	0	0.254396209241927	0.0125512764946735	0.0697336725958596	0	0	0	0	0	0	0	0	0	0.0458644351687363	0.320935351836961	0.00957485903809687	0.146359652115904	0.0989550034284935	0.0151181884900502	0.0328214361671381	0	0	0	0.833320751507564	0	0.0204865410572266	0.203554093451951	0	0	0	0.0784528542852358	0	0	0	0	0.0187415909641379	0	0	0	0	0.0200081254859508	0.255266918640725	0	0	0.0143737975870102	0.0249755635035229	0	0	0.0466610102459297	0	0.188312583016447	0	0	0	0
NS11	0.110681338596167	0	0.209121817305142	0.0525723833469857	0	0	0.0339373207467048	0	0.872592650399387	0	0	0.15146342339926	0.0640445081298815	0.0444633502828675	0	0	0	0	0	0	0	0.0142888953015399	0	0.0943441398001575	0.0931099490345729	0.0739895696391986	0	0.0265888876211394	0.0301867146919761	0.059537036656683	0	0	0	0.278734346181765	0.0336887379789368	0.133416537073041	0.159000631316047	0	0	0	0.180095415474955	0.0153358569762163	0	0.0241694536497228	0	0.0124525180251725	0	0	0	0	0.130644146772173	0.266505826443153	0	0	0.0166296165694258	0.241638036215433	0	0	0.0149085581510851	0	0	0.0101036028478039	0	0	0
NS13	0	0.00901929810878192	0.0493678082154253	0	0	0.011420015819921	0.0370039962953562	0	0.428541309109694	0	0	0	0	0.0403459254123888	0	0	0	0	0	0.0245846060973907	0	0	0	0.196664232097733	0	0	0.00672254738417437	0.060432447495842	0	0.0579060976480969	0	0	0	0.949059250772999	0	0.0294168806311071	0	0.0272748058684125	0.0183234629899281	0	0.0759935551210244	0	0	0	0.0268210791217188	0.0245846060973907	0	0	0	0	0.100169108162421	0.309452580303566	0	0	0.0411548029735559	0	0.0137774545075511	0	0.0379693386476369	0	0	0	0	0	0
NS21	0	0	0.124402683563606	0	0	0.0181472212350648	0	0	0.667875948564599	0	0	0.0388294082764582	0	0.0551736894685052	0	0	0	0	0	0	0	0	0.00880232581309317	0.0361219628406108	0.00964248971720228	0.0338310841234758	0.0786379931735023	0.0294620982598366	0.0399290698783278	0.0515364363223144	0	0	0	0.640921313550256	0	0.0831434378570048	0	0	0	0	0.188794602865837	0	0.00872866300917488	0	0	0.046760017088339	0	0	0	0	0.011017648668781	0.408640837254988	0	0	0.0451991248148542	0.0994312233197915	0	0	0.06396326470228	0	0.016507342326522	0	0	0.0781002803418653	0
NS25	0.115162174548867	0	0.10097694607859	0	0	0.162800683747161	0.0168932563502252	0	0.682652503741373	0	0	0.0610504281321009	0.0257145792336946	0.112252876620988	0	0	0	0	0	0	0	0	0.00787266340451847	0.0401049224505775	0	0.0630839642232386	0	0.0182174322280565	0	0.0996487014973818	0	0	0	0.480598950339598	0	0.105338628459881	0	0.123528844616852	0	0	0.271179384360954	0	0	0	0	0.0302611885661631	0	0	0	0	0.0848998738000328	0.43495894408376	0	0	0.009708783833299	0.129446145514434	0.00779022319024951	0	0.0604431556001266	0	0	0	0	0.0380713191512686	0
NS27	0	0	0.333109063395385	0.0777223366285931	0	0.0103524557391691	0.0191842863606021	0.0199110637507131	0.477695290765375	0	0	0.352488388563609	0.00827255126241026	0.0348085315600343	0	0	0.0594390900411747	0	0.110387467575214	0.0226427380720854	0	0	0.0533471533498015	0.124323598391492	0.0943852758827728	0	0.0840860742987389	0.0318017241484653	0	0.0769849437705687	0	0	0	0.566156442442103	0.016778193623284	0.0512446491913374	0.0250530234787871	0	0	0	0.0830381955164465	0	0.0175678198249858	0	0	0.0606035512285508	0	0	0	0	0.0981506076182736	0.404165568467197	0	0	0.107502469005888	0.11432779121177	0	0	0.0710768922063357	0	0.0156635839196188	0	0	0.0305162819491112	0
NS28	0.05213425523529	0	0.153868213138032	0.171014766731674	0	0.027682955405181	0.0187895167431316	0.0183315445855446	0.79213486774129	0.0978773492892588	0.00560165123689814	0.100863888929993	0.0511322821509361	0.0379667404458304	0.0943599562536353	0.0426889670128107	0	0.0110270272902155	0.206758791909412	0.0762125551289249	0.0161307123218221	0.00704861140394154	0	0.0349518397112092	0.0252617991089543	0.0220257266014943	0.123244713058206	0.0186147064555261	0.0167667061167446	0.0413652739900987	0	0	0	0.403851446325908	0	0.0586167258323966	0.0140045126255035	0	0	0	0.180318634822215	0.00928937269891085	0.00775517215126995	0	0.0103543504583776	0.0185443211577246	0.00783901599506461	0	0.00935948420632422	0	0.103543319561382	0.314763961729009	0	0	0.0255449866722327	0.107647269677117	0	0	0.0201009535416931	0.0104172976879826	0.154793529244424	0	0	0.00605048013203193	0
NS29	0	0.0106602790219361	0.370487728548302	0	0.0426683937022022	0.0175319303699237	0.0872412310291989	0	0.22745290797704	0.0745770808266782	0	0.39054061701996	0.0198796314825268	0.0208624575049674	0	0	0	0	0	0.0378178074266244	0	0.0368133087217988	0.115473185908422	0.154973334815194	0.129895983710042	0.0183244095386286	0.0859523639818257	0.0896554795463195	0	0.133232273228809	0.0880262287787105	0.00590477584994894	0	0.677840645047286	0	0.0267983706115954	0	0.0571328640086222	0.0143295461423386	0	0.153013807613272	0	0	0	0.00943952205017262	0.145694527582682	0	0	0.0228991827522522	0.0200736096288856	0.0501759650103715	0.337252751665999	0	0	0.0561273869712014	0.00970928532675994	0.00970928532675994	0	0.01124970692913	0	0.0296153850662564	0	0	0	0
NS30	0	0.0110759145889314	0.0798962910683537	0	0	0.00795447526534208	0	0	0.179850711797546	0.0098411660031128	0	0.234044801748639	0.102195708598557	0.0266042136819608	0	0	0	0	0	0	0	0	0.0569954672841504	0.038578282256707	0.121825941459201	0	0.038578282256707	0.041810403024413	0.126269406395849	0.0653540344646258	0	0	0	1.09404845382501	0	0	0	0.0182179497986055	0	0.0164678989283863	0.0551375735804483	0	0	0	0	0.0745144917676662	0	0	0	0	0.0240541383307307	0.220803259137035	0	0	0.0403310495540773	0.00923181414081794	0	0	0.0688476390680234	0	0	0	0	0	0
NS32	0.0304902010642936	0	0.335497465267889	0.0527637058665248	0	0.0375683052726068	0.0478939427401349	0	0.531134053949867	0.0412110562938865	0	0.0998805706012276	0.0380974683123992	0.0536300805344724	0.0425027180588863	0.0310967932898698	0	0	0.153897733873654	0.0670638127859643	0.0178524829291576	0.0174367699432634	0.0277168234568771	0.016042568041945	0.055599343304263	0.0529784708786848	0.199732275464458	0.0269604707766811	0.0201676811814295	0.0202666373081585	0	0	0	0.523786977614835	0.0584351370021191	0.0590380984061034	0	0.013516060075119	0.0915258265395892	0	0.235413213350691	0	0	0	0.0122207097112347	0.0245521459808949	0	0	0.043649435086863	0	0.0832922122184865	0.428536755936987	0	0	0.0229225406238112	0.0702110557858357	0.0103926651347575	0.0127022591991996	0.0495657111534336	0.0124370333082098	0.148488965877986	0	0	0	0
