feature	Acidaminococcaceae	Actinomycetaceae	Acutalibacteraceae	Akkermansiaceae	Anaerofustaceae	Anaerotignaceae	Anaerovoracaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bianqueaceae	Bifidobacteriaceae	Burkholderiaceae	Butyricicoccaceae	CAG.138	CAG.272	CAG.274	CAG.382	CAG.508	CAG.74	Campylobacteraceae	Christensenellaceae	Clostridiaceae	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Dialisteraceae	Eggerthellaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	GCA.900066905	Gemellaceae	Lachnospiraceae	Lactobacillaceae	Marinifilaceae	Megasphaeraceae	Monoglobaceae	Muribaculaceae	Nanosynbacteraceae	Oscillospiraceae	P3	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	QALW01	QAND01	Rhizobiaceae	Rikenellaceae	Ruminococcaceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Tannerellaceae	Turicibacteraceae	UBA1255	UBA1381	UBA644	UBA660	UMGS124	UMGS1783	Veillonellaceae	Xanthobacteraceae
NS10	284	0	74376	0	72	1656	389	0	11707	175	0	56800	120	4337	0	0	0	0	0	0	0	0	0	1927	88224	74	19151	8712	234	977	0	0	0	487368	0	384	35984	0	0	0	5329	0	0	0	0	316	0	0	0	0	346	55966	0	0	182	531	0	0	1937	0	31094	0	0	0	0
NS11	13484	0	47488	3128	0	0	1274	0	645450	0	0	25017	4485	2144	0	0	0	0	0	0	0	202	0	9798	9603	5892	0	743	959	3991	0	0	0	83346	1216	19656	27360	0	0	0	35244	264	0	659	0	174	0	0	0	0	18550	76568	0	0	301	63359	0	0	261	0	0	97	0	0	0
NS13	0	91	2997	0	0	180	1672	0	205663	0	0	0	0	2007	0	0	0	0	0	715	0	0	0	45840	0	0	53	4506	0	4105	0	0	0	786443	0	1042	0	836	435	0	6703	0	0	0	859	759	0	0	0	0	11804	110154	0	0	2027	0	230	0	1690	0	0	0	0	0	0
NS21	0	0	22287	0	0	444	0	0	553659	0	0	2143	0	4452	0	0	0	0	0	0	0	0	113	1796	125	1649	8992	1232	2367	3768	0	0	0	515881	0	10392	0	0	0	0	50227	0	122	0	0	3335	0	0	0	0	160	228382	0	0	2953	14149	0	0	5930	0	435	0	0	8715	0
NS25	26563	0	20407	0	0	52480	586	0	794204	0	0	7188	1406	24971	0	0	0	0	0	0	0	0	117	3196	0	7865	0	674	0	19481	0	0	0	426716	0	22195	0	30239	0	0	143037	0	0	0	0	1843	0	0	0	0	14412	353220	0	0	155	33480	114	0	7496	0	0	0	0	2924	0
NS27	0	0	117502	6506	0	124	425	440	231944	0	0	130885	68	1334	0	0	3921	0	13351	534	0	0	3184	16927	9741	0	7652	1101	0	6472	0	0	0	315805	313	2842	649	0	0	0	7679	0	315	0	0	4032	0	0	0	0	10526	170500	0	0	12549	14423	0	0	5495	0	234	0	0	973	0
NS28	4088	0	36184	43933	0	1090	541	548	774751	14459	53	15281	4041	2173	13527	2970	0	185	64635	8961	421	69	0	1905	957	730	22936	536	425	2657	0	0	0	236169	0	5356	266	0	0	0	49270	129	71	0	190	511	102	0	139	0	16316	146477	0	0	1020	17727	0	0	622	150	36379	0	0	72	0
NS29	0	165	165634	0	2358	371	9500	0	64589	7077	0	183922	456	562	0	0	0	0	0	1785	0	1601	16915	30132	21480	404	9260	10134	0	22502	9746	58	0	497661	0	854	0	4102	253	0	29193	0	0	0	152	26840	0	0	722	508	3132	139742	0	0	3990	97	132	0	166	0	1142	0	0	0	0
NS30	0	165	8054	0	0	67	0	0	40849	131	0	68039	12990	926	0	0	0	0	0	0	0	0	4118	1883	18869	0	1838	2238	19782	5460	0	0	0	999658	0	0	0	442	0	338	3864	0	0	0	0	6775	0	0	0	0	752	60652	0	0	2037	108	0	0	5942	0	0	0	0	0	0
NS32	1095	0	128648	3271	0	1657	2673	0	305124	2065	0	11577	1798	3435	2065	1137	0	0	27956	5275	332	364	879	275	3635	3263	47229	855	516	490	0	0	0	297592	4021	4184	0	238	9653	0	64630	0	0	0	159	767	0	0	2300	0	8251	205963	0	0	587	5842	132	166	2732	198	25804	0	0	0	0
NS34	8255	2379	25180	6285	56	451	2492	0	490587	0	282	15501	769	101	0	0	0	0	0	279	331	172	9194	6288	3000	0	977	2511	26296	3257	628	0	0	232719	0	8287	0	482	0	0	24403	0	0	107	7926	7853	3628	0	130	0	14202	26792	0	0	211	47548	1659	0	0	0	0	0	0	0	0
NS36	14300	0	105185	152538	0	6252	2016	0	193879	11410	0	15545	1494	745	0	0	0	0	0	0	0	1706	0	6132	15936	5449	0	1560	0	2914	0	329	0	138328	0	12578	0	40454	0	0	81545	0	0	0	719	3390	471	0	1667	383	92014	113916	0	65	357	33513	980	0	1213	0	19309	183	0	0	0
NS38	0	0	63268	71494	0	353	2793	0	201193	6496	146	97688	988	437	3378	2741	0	1443	12264	13101	0	330	0	7372	12487	2009	4707	2730	1808	948	0	0	0	102107	805	5124	0	1104	3219	0	34364	278	62	0	0	1385	0	267	257	0	29961	62096	0	0	187	13734	0	526	766	447	5574	0	510	252	0
NS39	2577	0	37475	2506	0	1224	1503	0	168208	3457	0	50239	1305	2118	0	133	0	63	27371	6196	0	631	0	1437	7926	810	17498	3317	66	8731	0	0	0	217433	0	7858	0	2143	0	0	42380	0	617	0	170	1042	0	0	171	0	29761	374975	4293	0	1131	6363	75	0	990	254	41290	0	0	1576	0
NS4	0	0	7073	0	0	611	0	0	321922	0	0	40847	20734	2403	0	0	0	0	0	0	0	0	62	928	6606	164	2278	234	5978	599	0	0	0	447758	0	4670	0	0	0	0	10704	0	2364	0	0	183	0	0	0	0	7375	163961	0	0	2021	3070	85	0	2218	0	0	0	0	1187	0
NS40	1586	0	268691	0	0	0	3580	4907	102791	7273	0	75146	2306	5352	0	576	0	0	0	2518	0	369	4320	1501	20321	0	0	2745	693	7359	0	0	0	417500	8580	2726	12680	36374	0	0	67594	0	0	3529	455	480	186	0	924	0	19629	303293	3382	0	687	15710	0	0	13648	0	26282	119	0	324	0
NS41	2296	0	71020	3013	0	2822	1495	196	871778	16629	0	7234	7062	2231	392	1429	0	1364	0	1714	79	676	1763	23318	2593	72	0	527	0	5058	0	0	0	343682	1861	10338	2198	1367	0	0	87170	0	0	353	69	241	0	0	539	0	53220	222104	2823	0	361	43562	0	0	2105	0	0	0	0	1105	0
NS46	0	0	178740	2490	0	1285	3723	0	132282	0	3605	33884	2023	1511	94	1408	148	0	28386	6455	63	2123	380	10915	574	620	5533	12642	1259	1931	609	339	0	392353	245	4220	0	1631	0	0	60814	0	0	0	466	3204	435	136	962	0	9814	207915	0	200	0	3662	3682	2089	164	0	0	0	0	667	0
