#Classification	N-3-POLJUN-G_bracken_P.kreport
k__Bacteria	215085
k__Bacteria|p__Proteobacteria	206651
k__Bacteria|p__Cyanobacteria	5550
k__Bacteria|p__Actinobacteria	1880
k__Bacteria|p__Firmicutes	7
k__Bacteria|p__Acidobacteria	909
k__Bacteria|p__Bacteroidetes	67
k__Bacteria|p__Planctomycetes	18
k__Eukaryota	1804
k__Eukaryota|k__Viridiplantae	1516
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1516
k__Eukaryota|k__Metazoa	281
k__Eukaryota|k__Metazoa|p__Chordata	281
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	4
k__Eukaryota|k__Fungi|p__Basidiomycota	2
