#Classification	S-2-POLCOM-G_bracken_P.kreport
k__Bacteria	9568
k__Bacteria|p__Proteobacteria	7959
k__Bacteria|p__Actinobacteria	430
k__Bacteria|p__Firmicutes	737
k__Bacteria|p__Bacteroidetes	158
k__Bacteria|p__Acidobacteria	279
k__Bacteria|p__Planctomycetes	3
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	1440
k__Eukaryota|k__Viridiplantae	884
k__Eukaryota|k__Viridiplantae|p__Streptophyta	884
k__Eukaryota|k__Metazoa	513
k__Eukaryota|k__Metazoa|p__Chordata	513
k__Eukaryota|k__Fungi	42
k__Eukaryota|k__Fungi|p__Ascomycota	36
k__Eukaryota|k__Fungi|p__Basidiomycota	5
