#Classification	SRR20002459_bracken_P.kreport
k__Bacteria	1415067
k__Bacteria|p__Firmicutes	658130
k__Bacteria|p__Actinobacteria	16309
k__Bacteria|p__Deinococcus-Thermus	44
k__Bacteria|p__Cyanobacteria	1
k__Bacteria|p__Proteobacteria	740081
k__Bacteria|p__Bacteroidetes	492
k__Bacteria|p__Fusobacteria	7
k__Bacteria|p__Verrucomicrobia	1
k__Eukaryota	1315
k__Eukaryota|k__Fungi	537
k__Eukaryota|k__Fungi|p__Basidiomycota	491
k__Eukaryota|k__Fungi|p__Ascomycota	45
k__Eukaryota|k__Metazoa	151
k__Eukaryota|k__Metazoa|p__Chordata	151
k__Eukaryota|k__Viridiplantae	626
k__Eukaryota|k__Viridiplantae|p__Streptophyta	626
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
