#Classification	NS25_bracken_C.kreport
k__Bacteria	22941341
k__Bacteria|p__Bacteroidetes	13531119
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	13531048
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	70
k__Bacteria|p__Firmicutes	9213856
k__Bacteria|p__Firmicutes|c__Clostridia	8568870
k__Bacteria|p__Firmicutes|c__Negativicutes	453097
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	66668
k__Bacteria|p__Firmicutes|c__Bacilli	124701
k__Bacteria|p__Firmicutes|c__Tissierellia	518
k__Bacteria|p__Actinobacteria	115182
k__Bacteria|p__Actinobacteria|c__Actinomycetia	101866
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	13315
k__Bacteria|p__Chloroflexi	28
k__Bacteria|p__Chloroflexi|c__Dehalococcoidia	28
k__Bacteria|p__Deinococcus-Thermus	6
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	6
k__Bacteria|p__Tenericutes	2
k__Bacteria|p__Tenericutes|c__Mollicutes	2
k__Bacteria|p__Proteobacteria	79844
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	63227
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	685
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	6014
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	9110
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	807
k__Bacteria|p__Spirochaetes	572
k__Bacteria|p__Spirochaetes|c__Spirochaetia	572
k__Bacteria|p__Verrucomicrobia	489
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	488
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Planctomycetes	1
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1
k__Bacteria|p__Fusobacteria	146
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	146
k__Bacteria|p__Candidatus_Saccharibacteria	79
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	79
k__Bacteria|p__Nitrospirae	13
k__Bacteria|p__Nitrospirae|c__Nitrospira	13
k__Eukaryota	306
k__Eukaryota|k__Viridiplantae	183
k__Eukaryota|k__Viridiplantae|p__Streptophyta	183
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	183
k__Eukaryota|k__Fungi	121
k__Eukaryota|k__Fungi|p__Ascomycota	117
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	117
k__Eukaryota|k__Fungi|p__Basidiomycota	4
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	4
k__Eukaryota|k__Metazoa	1
k__Eukaryota|k__Metazoa|p__Chordata	1
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	1
k__Archaea	50
k__Archaea|p__Euryarchaeota	50
k__Archaea|p__Euryarchaeota|c__Methanobacteria	48
k__Archaea|p__Euryarchaeota|c__Halobacteria	1
k__Archaea|p__Euryarchaeota|c__Thermococci	1
k__Viruses	7274
k__Viruses|k__Heunggongvirae	7274
k__Viruses|k__Heunggongvirae|p__Uroviricota	7274
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	7274
