#Classification	SRR20002374_bracken_C.kreport
k__Bacteria	4168587
k__Bacteria|p__Proteobacteria	3514734
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	3156974
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	292035
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	64770
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	726
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	147
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	77
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	3
k__Bacteria|p__Firmicutes	476135
k__Bacteria|p__Firmicutes|c__Bacilli	472093
k__Bacteria|p__Firmicutes|c__Clostridia	3486
k__Bacteria|p__Firmicutes|c__Negativicutes	339
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	117
k__Bacteria|p__Firmicutes|c__Tissierellia	98
k__Bacteria|p__Actinobacteria	167180
k__Bacteria|p__Actinobacteria|c__Actinomycetia	166089
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1058
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	15
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	12
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	4
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1
k__Bacteria|p__Deinococcus-Thermus	1413
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	1413
k__Bacteria|p__Tenericutes	23
k__Bacteria|p__Tenericutes|c__Mollicutes	23
k__Bacteria|p__Bacteroidetes	8187
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	5748
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1833
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	544
k__Bacteria|p__Bacteroidetes|c__Cytophagia	61
k__Bacteria|p__Verrucomicrobia	596
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	586
k__Bacteria|p__Verrucomicrobia|c__Opitutae	10
k__Bacteria|p__Chlamydiae	199
k__Bacteria|p__Chlamydiae|c__Chlamydiia	199
k__Bacteria|p__Planctomycetes	11
k__Bacteria|p__Planctomycetes|c__Planctomycetia	11
k__Bacteria|p__Fusobacteria	98
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	98
k__Bacteria|p__Nitrospirae	7
k__Bacteria|p__Nitrospirae|c__Nitrospira	7
k__Eukaryota	10779
k__Eukaryota|k__Fungi	6159
k__Eukaryota|k__Fungi|p__Basidiomycota	3136
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	3136
k__Eukaryota|k__Fungi|p__Ascomycota	3023
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	2686
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	299
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	37
k__Eukaryota|k__Metazoa	2461
k__Eukaryota|k__Metazoa|p__Chordata	2461
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2461
k__Eukaryota|k__Viridiplantae	2035
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2035
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	2035
k__Eukaryota|p__Apicomplexa	123
k__Eukaryota|p__Apicomplexa|c__Conoidasida	87
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	36
k__Archaea	2
k__Archaea|p__Thaumarchaeota	1
k__Archaea|p__Thaumarchaeota|c__Nitrososphaeria	1
k__Archaea|p__Euryarchaeota	1
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1
k__Viruses	1448
k__Viruses|k__Heunggongvirae	1448
k__Viruses|k__Heunggongvirae|p__Uroviricota	1448
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	1448
