#Classification	SRR5091507_bracken_P.kreport
k__Bacteria	2353723
k__Bacteria|p__Bacteroidetes	2117521
k__Bacteria|p__Firmicutes	164044
k__Bacteria|p__Actinobacteria	3288
k__Bacteria|p__Proteobacteria	67428
k__Bacteria|p__Fusobacteria	479
k__Bacteria|p__Synergistetes	911
k__Bacteria|p__Verrucomicrobia	48
k__Eukaryota	8
k__Eukaryota|k__Viridiplantae	7
k__Eukaryota|k__Viridiplantae|p__Streptophyta	7
k__Eukaryota|k__Fungi	1
k__Eukaryota|k__Fungi|p__Ascomycota	1
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
k__Viruses	23
k__Viruses|k__Heunggongvirae	17
k__Viruses|k__Heunggongvirae|p__Uroviricota	17
k__Viruses|k__Sangervirae	6
k__Viruses|k__Sangervirae|p__Phixviricota	6
