name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Granulicella sp903970445	40192	S	107	753	860	0.53918
Granulicella_D aggregans	40205	S	2	5	7	0.00439
Granulicella_D aggregans_A	40206	S	1	1	2	0.00125
Acidisarcina polymorpha	40108	S	2	5	7	0.00439
Granulicella_C pectinivorans	40196	S	1	1	2	0.00125
Granulicella_C sibirica	40198	S	1	5	6	0.00376
Edaphobacter lichenicola_E	40135	S	1	16	17	0.01066
Nostoc sp002949735	96860	S	1	92	93	0.05831
Nostoc sp017115085	96877	S	1	42	43	0.02696
Palsa-1515 sp903970385	102220	S	66	289	355	0.22257
Methylobacterium sp022829385	118327	S	2	12	14	0.00878
Methylobacterium sp022829365	118326	S	2	13	15	0.00940
Acidisoma sp009765865	113615	S	2	3	5	0.00313
Lichenicoccus roseus	113922	S	1	3	4	0.00251
Novosphingobium sp903970225	124574	S	1	10	11	0.00690
Rhizomicrobium sp003131925	115838	S	1	14	15	0.00940
Caballeronia sordidicola_C	126762	S	2	7	9	0.00564
Duganella alba	126992	S	1	82	83	0.05204
Streptacidiphilus sp014084125	48897	S	2	25	27	0.01693
CAJCIY01 sp903970495	45419	S	1	4	5	0.00313
Palsa-504 sp003161205	50189	S	1	0	1	0.00063
Mucilaginibacter frigoritolerans	89852	S	1	1	2	0.00125
