#Classification	GQ37_bracken_P.kreport
k__Bacteria	30267008
k__Bacteria|p__Bacteroidetes	17322710
k__Bacteria|p__Ignavibacteriae	1
k__Bacteria|p__Firmicutes	10861778
k__Bacteria|p__Actinobacteria	1010335
k__Bacteria|p__Tenericutes	62
k__Bacteria|p__Chloroflexi	7
k__Bacteria|p__Proteobacteria	1069920
k__Bacteria|p__Spirochaetes	1031
k__Bacteria|p__Verrucomicrobia	698
k__Bacteria|p__Candidatus_Saccharibacteria	395
k__Bacteria|p__Fusobacteria	47
k__Bacteria|p__Synergistetes	19
k__Archaea	455789
k__Archaea|p__Euryarchaeota	455789
k__Eukaryota	23923
k__Eukaryota|k__Viridiplantae	22986
k__Eukaryota|k__Viridiplantae|p__Streptophyta	22955
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	31
k__Eukaryota|k__Fungi	904
k__Eukaryota|k__Fungi|p__Ascomycota	904
k__Eukaryota|k__Metazoa	32
k__Eukaryota|k__Metazoa|p__Chordata	32
k__Viruses	757285
k__Viruses|k__Heunggongvirae	757050
k__Viruses|k__Heunggongvirae|p__Uroviricota	757050
k__Viruses|k__Sangervirae	144
k__Viruses|k__Sangervirae|p__Phixviricota	144
k__Viruses|k__Shotokuvirae	91
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	91
