#Classification	S-4-DICUND-B_bracken_C.kreport
k__Bacteria	473274
k__Bacteria|p__Actinobacteria	225678
k__Bacteria|p__Actinobacteria|c__Actinomycetia	205437
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	12600
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	1046
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	3442
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	3151
k__Bacteria|p__Firmicutes	2842
k__Bacteria|p__Firmicutes|c__Bacilli	2397
k__Bacteria|p__Firmicutes|c__Clostridia	432
k__Bacteria|p__Firmicutes|c__Limnochordia	10
k__Bacteria|p__Firmicutes|c__Tissierellia	1
k__Bacteria|p__Chloroflexi	83
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	77
k__Bacteria|p__Chloroflexi|c__Tepidiformia	3
k__Bacteria|p__Chloroflexi|c__Caldilineae	2
k__Bacteria|p__Armatimonadetes	51
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	44
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	7
k__Bacteria|p__Deinococcus-Thermus	8
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	8
k__Bacteria|p__Proteobacteria	224164
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	107717
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	77287
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	36609
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2511
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia	37
k__Bacteria|p__Acidobacteria	11891
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	11887
k__Bacteria|p__Acidobacteria|c__Blastocatellia	2
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	2
k__Bacteria|p__Planctomycetes	3855
k__Bacteria|p__Planctomycetes|c__Planctomycetia	3762
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	92
k__Bacteria|p__Verrucomicrobia	833
k__Bacteria|p__Verrucomicrobia|c__Opitutae	503
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	275
k__Bacteria|p__Verrucomicrobia|c__Spartobacteria	54
k__Bacteria|p__Chlamydiae	42
k__Bacteria|p__Chlamydiae|c__Chlamydiia	42
k__Bacteria|p__Bacteroidetes	3481
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2612
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	268
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	152
k__Bacteria|p__Bacteroidetes|c__Cytophagia	39
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	409
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Chlorobi|c__Chlorobia	2
k__Bacteria|p__Gemmatimonadetes	110
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	110
k__Bacteria|p__Synergistetes	219
k__Bacteria|p__Synergistetes|c__Synergistia	219
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Spirochaetes|c__Spirochaetia	4
k__Bacteria|p__Nitrospirae	4
k__Bacteria|p__Nitrospirae|c__Nitrospira	4
k__Eukaryota	13821
k__Eukaryota|k__Viridiplantae	8798
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8781
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	4710
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	4070
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	17
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	16
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Mamiellophyceae	1
k__Eukaryota|k__Metazoa	3408
k__Eukaryota|k__Metazoa|p__Chordata	3408
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	3408
k__Eukaryota|k__Fungi	1592
k__Eukaryota|k__Fungi|p__Ascomycota	1443
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	378
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	514
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	146
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	399
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	4
k__Eukaryota|k__Fungi|p__Basidiomycota	148
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	147
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Tremellomycetes	1
k__Eukaryota|p__Evosea	18
k__Eukaryota|p__Evosea|c__Eumycetozoa	18
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	2
k__Eukaryota|p__Ciliophora	1
k__Eukaryota|p__Ciliophora|c__Oligohymenophorea	1
k__Eukaryota|p__Euglenozoa	1
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	1
k__Archaea	54
k__Archaea|p__Euryarchaeota	54
k__Archaea|p__Euryarchaeota|c__Halobacteria	52
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2
