#Classification	S-4-DICUND-B_bracken_P.kreport
k__Bacteria	473452
k__Bacteria|p__Actinobacteria	222549
k__Bacteria|p__Cyanobacteria	3129
k__Bacteria|p__Firmicutes	2842
k__Bacteria|p__Chloroflexi	83
k__Bacteria|p__Armatimonadetes	53
k__Bacteria|p__Deinococcus-Thermus	8
k__Bacteria|p__Proteobacteria	224164
k__Bacteria|p__Acidobacteria	12066
k__Bacteria|p__Planctomycetes	3855
k__Bacteria|p__Verrucomicrobia	833
k__Bacteria|p__Chlamydiae	42
k__Bacteria|p__Bacteroidetes	3481
k__Bacteria|p__Chlorobi	2
k__Bacteria|p__Gemmatimonadetes	86
k__Bacteria|p__Candidatus_Saccharibacteria	24
k__Bacteria|p__Spirochaetes	4
k__Bacteria|p__Nitrospirae	4
k__Bacteria|p__Synergistetes	219
k__Eukaryota	13827
k__Eukaryota|k__Viridiplantae	8798
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8781
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	17
k__Eukaryota|k__Metazoa	3408
k__Eukaryota|k__Metazoa|p__Chordata	3408
k__Eukaryota|k__Fungi	1598
k__Eukaryota|k__Fungi|p__Ascomycota	1449
k__Eukaryota|k__Fungi|p__Basidiomycota	148
k__Eukaryota|p__Evosea	18
k__Eukaryota|p__Ciliophora	1
k__Eukaryota|p__Apicomplexa	2
k__Eukaryota|p__Euglenozoa	1
k__Archaea	54
k__Archaea|p__Euryarchaeota	54
