#Classification	S-7-POLJUN-B_bracken_C.kreport
k__Bacteria	1726
k__Bacteria|p__Proteobacteria	1666
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	854
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	753
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	57
k__Bacteria|p__Actinobacteria	30
k__Bacteria|p__Actinobacteria|c__Actinomycetia	30
k__Bacteria|p__Bacteroidetes	26
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	25
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	1
k__Bacteria|p__Acidobacteria	4
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	4
k__Eukaryota	18
k__Eukaryota|k__Metazoa	18
k__Eukaryota|k__Metazoa|p__Chordata	18
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	18
