#Classification	S-5-POLCOM-G_bracken_P.kreport
k__Bacteria	226653
k__Bacteria|p__Proteobacteria	185989
k__Bacteria|p__Actinobacteria	26830
k__Bacteria|p__Cyanobacteria	1430
k__Bacteria|p__Firmicutes	165
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Acidobacteria	7762
k__Bacteria|p__Bacteroidetes	3972
k__Bacteria|p__Planctomycetes	448
k__Bacteria|p__Verrucomicrobia	44
k__Bacteria|p__Chlamydiae	8
k__Eukaryota	12087
k__Eukaryota|k__Viridiplantae	10415
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10415
k__Eukaryota|k__Metazoa	1330
k__Eukaryota|k__Metazoa|p__Chordata	1330
k__Eukaryota|k__Fungi	321
k__Eukaryota|k__Fungi|p__Ascomycota	285
k__Eukaryota|k__Fungi|p__Basidiomycota	36
k__Eukaryota|p__Evosea	18
k__Eukaryota|p__Apicomplexa	2
