#Classification	S-20-POLJUN-G_bracken_P.kreport
k__Bacteria	591943
k__Bacteria|p__Cyanobacteria	185615
k__Bacteria|p__Actinobacteria	82557
k__Bacteria|p__Firmicutes	980
k__Bacteria|p__Armatimonadetes	12
k__Bacteria|p__Chloroflexi	7
k__Bacteria|p__Deinococcus-Thermus	5
k__Bacteria|p__Tenericutes	1
k__Bacteria|p__Proteobacteria	308916
k__Bacteria|p__Bacteroidetes	6963
k__Bacteria|p__Gemmatimonadetes	17
k__Bacteria|p__Acidobacteria	5899
k__Bacteria|p__Planctomycetes	878
k__Bacteria|p__Verrucomicrobia	67
k__Bacteria|p__Chlamydiae	13
k__Bacteria|p__Candidatus_Saccharibacteria	7
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Thermotogae	1
k__Eukaryota	115241
k__Eukaryota|k__Viridiplantae	108133
k__Eukaryota|k__Viridiplantae|p__Streptophyta	108102
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	30
k__Eukaryota|k__Metazoa	6043
k__Eukaryota|k__Metazoa|p__Chordata	6043
k__Eukaryota|k__Fungi	1061
k__Eukaryota|k__Fungi|p__Ascomycota	937
k__Eukaryota|k__Fungi|p__Basidiomycota	124
k__Eukaryota|p__Cercozoa	3
k__Archaea	8
k__Archaea|p__Euryarchaeota	8
