#Classification	GQ25_bracken_P.kreport
k__Bacteria	1225639
k__Bacteria|p__Firmicutes	685768
k__Bacteria|p__Actinobacteria	148630
k__Bacteria|p__Tenericutes	8
k__Bacteria|p__Deinococcus-Thermus	4
k__Bacteria|p__Bacteroidetes	219875
k__Bacteria|p__Proteobacteria	154099
k__Bacteria|p__Fusobacteria	16043
k__Bacteria|p__Candidatus_Saccharibacteria	594
k__Bacteria|p__Spirochaetes	613
k__Eukaryota	4639
k__Eukaryota|k__Metazoa	4051
k__Eukaryota|k__Metazoa|p__Chordata	4051
k__Eukaryota|k__Fungi	134
k__Eukaryota|k__Fungi|p__Basidiomycota	84
k__Eukaryota|k__Fungi|p__Ascomycota	49
k__Eukaryota|k__Viridiplantae	454
k__Eukaryota|k__Viridiplantae|p__Streptophyta	454
k__Viruses	19
k__Viruses|k__Heunggongvirae	19
k__Viruses|k__Heunggongvirae|p__Uroviricota	19
