#Classification	S-4-DICUND-G_bracken_C.kreport
k__Eukaryota|p__Euglenozoa|c__Kinetoplastea	21
k__Eukaryota|p__Evosea	5
k__Eukaryota|p__Evosea|c__Eumycetozoa	5
k__Eukaryota|p__Bacillariophyta	1
k__Eukaryota|p__Bacillariophyta|c__Coscinodiscophyceae	1
k__Eukaryota|p__Apicomplexa	1
k__Eukaryota|p__Apicomplexa|c__Aconoidasida	1
k__Archaea	8
k__Archaea|p__Euryarchaeota	8
k__Archaea|p__Euryarchaeota|c__Halobacteria	8
k__Viruses	2
k__Viruses|k__Heunggongvirae	2
k__Viruses|k__Heunggongvirae|p__Uroviricota	2
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	2
