#Classification	S-20-POLPIL-B_bracken_P.kreport
k__Bacteria	231482
k__Bacteria|p__Proteobacteria	168416
k__Bacteria|p__Actinobacteria	39183
k__Bacteria|p__Cyanobacteria	13762
k__Bacteria|p__Chloroflexi	8
k__Bacteria|p__Firmicutes	5
k__Bacteria|p__Armatimonadetes	3
k__Bacteria|p__Acidobacteria	6665
k__Bacteria|p__Bacteroidetes	2787
k__Bacteria|p__Gemmatimonadetes	1
k__Bacteria|p__Planctomycetes	595
k__Bacteria|p__Verrucomicrobia	32
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Candidatus_Saccharibacteria	15
k__Eukaryota	11890
k__Eukaryota|k__Viridiplantae	8193
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8193
k__Eukaryota|k__Metazoa	2318
k__Eukaryota|k__Metazoa|p__Chordata	2318
k__Eukaryota|k__Fungi	1377
k__Eukaryota|k__Fungi|p__Ascomycota	1285
k__Eukaryota|k__Fungi|p__Basidiomycota	92
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
