#Classification	S-24-POLPIL-G_bracken_O.kreport
k__Bacteria	393645
k__Bacteria|p__Proteobacteria	268664
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	184237
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	89974
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	74212
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	16139
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	3430
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	453
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	18
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	61388
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	59615
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	1387
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	335
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	49
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	20994
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	3457
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	6690
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	9058
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	82
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	562
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	844
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	31
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	150
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	17
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	60
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	1899
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	1718
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	20
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	160
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	133
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	133
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	6
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	6
k__Bacteria|p__Proteobacteria|c__Oligoflexia	5
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	5
k__Bacteria|p__Actinobacteria	71076
k__Bacteria|p__Actinobacteria|c__Actinomycetia	68884
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	45807
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	4512
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales	3160
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Nakamurellales	5033
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Pseudonocardiales	2665
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micromonosporales	1375
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1331
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	388
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	1066
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	448
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Frankiales	461
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Geodermatophilales	532
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Sporichthyales	1837
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jiangellales	3
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	2
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	209
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Kineosporiales	48
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	1464
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	1370
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Miltoncostaeales	94
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	661
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	661
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	60
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia|o__Acidimicrobiales	60
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria	4
k__Bacteria|p__Actinobacteria|c__Nitriliruptoria|o__Euzebyales	4
k__Bacteria|p__Cyanobacteria	33508
k__Bacteria|p__Cyanobacteria|o__Nostocales	32438
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	556
k__Bacteria|p__Cyanobacteria|o__Chroococcales	46
k__Bacteria|p__Cyanobacteria|o__Synechococcales	36
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	416
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	6
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	3
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	3
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	5
k__Bacteria|p__Firmicutes	975
k__Bacteria|p__Firmicutes|c__Bacilli	935
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	493
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	441
k__Bacteria|p__Firmicutes|c__Clostridia	39
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	39
k__Bacteria|p__Chloroflexi	96
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	95
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria|o__Ktedonobacterales	95
k__Bacteria|p__Chloroflexi|c__Anaerolineae	1
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	1
k__Bacteria|p__Deinococcus-Thermus	14
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	14
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Deinococcales	11
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Trueperales	1
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci|o__Thermales	1
k__Bacteria|p__Armatimonadetes	12
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	9
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia|o__Fimbriimonadales	9
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	3
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes|o__Chthonomonadales	3
k__Bacteria|p__Acidobacteria	12006
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	12000
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	11991
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	9
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria	5
k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|o__Vicinamibacterales	5
k__Bacteria|p__Bacteroidetes	3932
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2062
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	2062
k__Bacteria|p__Bacteroidetes|c__Cytophagia	1479
k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales	1479
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	307
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	307
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	68
k__Bacteria|p__Bacteroidetes|c__Chitinophagia|o__Chitinophagales	68
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	15
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	15
