#Classification	S-19-POLPIL-G_bracken_P.kreport
k__Bacteria	13509
k__Bacteria|p__Proteobacteria	11679
k__Bacteria|p__Cyanobacteria	958
k__Bacteria|p__Actinobacteria	284
k__Bacteria|p__Firmicutes	468
k__Bacteria|p__Acidobacteria	88
k__Bacteria|p__Bacteroidetes	29
k__Bacteria|p__Planctomycetes	2
k__Eukaryota	2864
k__Eukaryota|k__Viridiplantae	2270
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2270
k__Eukaryota|k__Metazoa	590
k__Eukaryota|k__Metazoa|p__Chordata	590
k__Eukaryota|k__Fungi	3
k__Eukaryota|k__Fungi|p__Basidiomycota	3
