#Classification	SRR20002372_bracken_P.kreport
k__Bacteria	13816
k__Bacteria|p__Actinobacteria	5228
k__Bacteria|p__Firmicutes	1447
k__Bacteria|p__Deinococcus-Thermus	15
k__Bacteria|p__Proteobacteria	7045
k__Bacteria|p__Bacteroidetes	78
k__Eukaryota	3342
k__Eukaryota|k__Metazoa	2887
k__Eukaryota|k__Metazoa|p__Chordata	2887
k__Eukaryota|k__Fungi	88
k__Eukaryota|k__Fungi|p__Basidiomycota	80
k__Eukaryota|k__Fungi|p__Ascomycota	7
k__Eukaryota|p__Apicomplexa	350
k__Eukaryota|k__Viridiplantae	16
k__Eukaryota|k__Viridiplantae|p__Streptophyta	16
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
