#Classification	S-8-DICUND-B_bracken_P.kreport
k__Bacteria	16283
k__Bacteria|p__Actinobacteria	6352
k__Bacteria|p__Cyanobacteria	68
k__Bacteria|p__Firmicutes	82
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Deinococcus-Thermus	1
k__Bacteria|p__Proteobacteria	9143
k__Bacteria|p__Acidobacteria	548
k__Bacteria|p__Planctomycetes	38
k__Bacteria|p__Verrucomicrobia	8
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Bacteroidetes	36
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	4180
k__Eukaryota|k__Metazoa	3734
k__Eukaryota|k__Metazoa|p__Chordata	3734
k__Eukaryota|k__Fungi	6
k__Eukaryota|k__Fungi|p__Ascomycota	6
k__Eukaryota|k__Viridiplantae	438
k__Eukaryota|k__Viridiplantae|p__Streptophyta	438
