#Classification	S-19-POLPIL-G_bracken_P.kreport
k__Bacteria	220789
k__Bacteria|p__Proteobacteria	161719
k__Bacteria|p__Actinobacteria	26884
k__Bacteria|p__Cyanobacteria	20929
k__Bacteria|p__Armatimonadetes	35
k__Bacteria|p__Firmicutes	280
k__Bacteria|p__Deinococcus-Thermus	9
k__Bacteria|p__Chloroflexi	4
k__Bacteria|p__Acidobacteria	6379
k__Bacteria|p__Bacteroidetes	3866
k__Bacteria|p__Planctomycetes	379
k__Bacteria|p__Verrucomicrobia	85
k__Bacteria|p__Spirochaetes	55
k__Bacteria|p__Fusobacteria	159
k__Eukaryota	149068
k__Eukaryota|k__Viridiplantae	139706
k__Eukaryota|k__Viridiplantae|p__Streptophyta	139688
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	17
k__Eukaryota|k__Metazoa	8355
k__Eukaryota|k__Metazoa|p__Chordata	8355
k__Eukaryota|k__Fungi	991
k__Eukaryota|k__Fungi|p__Ascomycota	892
k__Eukaryota|k__Fungi|p__Basidiomycota	98
k__Eukaryota|p__Cercozoa	14
k__Archaea	5
k__Archaea|p__Euryarchaeota	5
