#Classification	SRR20002455_bracken_P.kreport
k__Bacteria	2643242
k__Bacteria|p__Proteobacteria	2298050
k__Bacteria|p__Actinobacteria	231933
k__Bacteria|p__Firmicutes	108351
k__Bacteria|p__Deinococcus-Thermus	621
k__Bacteria|p__Cyanobacteria	18
k__Bacteria|p__Bacteroidetes	4010
k__Bacteria|p__Chlamydiae	161
k__Bacteria|p__Verrucomicrobia	23
k__Bacteria|p__Fusobacteria	72
k__Eukaryota	20245
k__Eukaryota|k__Fungi	10797
k__Eukaryota|k__Fungi|p__Basidiomycota	8858
k__Eukaryota|k__Fungi|p__Ascomycota	1939
k__Eukaryota|k__Metazoa	967
k__Eukaryota|k__Metazoa|p__Chordata	967
k__Eukaryota|k__Viridiplantae	8468
k__Eukaryota|k__Viridiplantae|p__Streptophyta	8468
k__Eukaryota|p__Euglenozoa	9
k__Eukaryota|p__Apicomplexa	2
k__Viruses	74
k__Viruses|k__Heunggongvirae	74
k__Viruses|k__Heunggongvirae|p__Uroviricota	53
k__Viruses|k__Heunggongvirae|p__Peploviricota	21
