#Classification	S-27-POLPIL-B_bracken_P.kreport
k__Bacteria	47605
k__Bacteria|p__Proteobacteria	32097
k__Bacteria|p__Cyanobacteria	7118
k__Bacteria|p__Actinobacteria	3902
k__Bacteria|p__Chloroflexi	1
k__Bacteria|p__Firmicutes	1202
k__Bacteria|p__Acidobacteria	3069
k__Bacteria|p__Bacteroidetes	140
k__Bacteria|p__Planctomycetes	56
k__Bacteria|p__Verrucomicrobia	3
k__Bacteria|p__Chlamydiae	1
k__Bacteria|p__Candidatus_Saccharibacteria	2
k__Bacteria|p__Fusobacteria	12
k__Eukaryota	1337
k__Eukaryota|k__Metazoa	950
k__Eukaryota|k__Metazoa|p__Chordata	950
k__Eukaryota|k__Fungi	64
k__Eukaryota|k__Fungi|p__Ascomycota	49
k__Eukaryota|k__Fungi|p__Basidiomycota	15
k__Eukaryota|k__Viridiplantae	322
k__Eukaryota|k__Viridiplantae|p__Streptophyta	322
