#Classification	SRR20002378_bracken_P.kreport
k__Bacteria	684584
k__Bacteria|p__Proteobacteria	534022
k__Bacteria|p__Firmicutes	118892
k__Bacteria|p__Actinobacteria	29433
k__Bacteria|p__Deinococcus-Thermus	502
k__Bacteria|p__Cyanobacteria	79
k__Bacteria|p__Tenericutes	4
k__Bacteria|p__Bacteroidetes	1530
k__Bacteria|p__Gemmatimonadetes	7
k__Bacteria|p__Planctomycetes	26
k__Bacteria|p__Verrucomicrobia	26
k__Bacteria|p__Chlamydiae	4
k__Bacteria|p__Fusobacteria	52
k__Bacteria|p__Spirochaetes	1
k__Bacteria|p__Candidatus_Saccharibacteria	1
k__Eukaryota	13983
k__Eukaryota|k__Metazoa	5001
k__Eukaryota|k__Metazoa|p__Chordata	5001
k__Eukaryota|k__Fungi	3984
k__Eukaryota|k__Fungi|p__Basidiomycota	3364
k__Eukaryota|k__Fungi|p__Ascomycota	620
k__Eukaryota|k__Viridiplantae	4650
k__Eukaryota|k__Viridiplantae|p__Streptophyta	4650
k__Eukaryota|p__Apicomplexa	346
k__Eukaryota|p__Euglenozoa	1
k__Archaea	73
k__Archaea|p__Euryarchaeota	73
k__Viruses	86
k__Viruses|k__Heunggongvirae	83
k__Viruses|k__Heunggongvirae|p__Uroviricota	83
k__Viruses|k__Shotokuvirae	3
k__Viruses|k__Shotokuvirae|p__Cressdnaviricota	3
