#Classification	GQ53_bracken_C.kreport
k__Bacteria	16199228
k__Bacteria|p__Bacteroidetes	9246813
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	9246813
k__Bacteria|p__Firmicutes	6372170
k__Bacteria|p__Firmicutes|c__Clostridia	6016383
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	171830
k__Bacteria|p__Firmicutes|c__Bacilli	181835
k__Bacteria|p__Firmicutes|c__Negativicutes	1392
k__Bacteria|p__Firmicutes|c__Tissierellia	728
k__Bacteria|p__Actinobacteria	177499
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	114067
k__Bacteria|p__Actinobacteria|c__Actinomycetia	63432
k__Bacteria|p__Proteobacteria	285759
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	248517
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	32371
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3187
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	1437
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	244
k__Bacteria|p__Verrucomicrobia	116565
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	116565
k__Bacteria|p__Spirochaetes	404
k__Bacteria|p__Spirochaetes|c__Spirochaetia	404
k__Bacteria|p__Candidatus_Saccharibacteria	14
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	14
k__Bacteria|p__Fusobacteria	1
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	1
k__Eukaryota	75
k__Eukaryota|k__Fungi	65
k__Eukaryota|k__Fungi|p__Ascomycota	61
k__Eukaryota|k__Fungi|p__Ascomycota|c__Saccharomycetes	61
k__Eukaryota|k__Fungi|p__Basidiomycota	3
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	3
k__Eukaryota|k__Viridiplantae	10
k__Eukaryota|k__Viridiplantae|p__Streptophyta	10
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	10
k__Viruses	273
k__Viruses|k__Heunggongvirae	273
k__Viruses|k__Heunggongvirae|p__Uroviricota	273
k__Viruses|k__Heunggongvirae|p__Uroviricota|c__Caudoviricetes	273
