#Classification	S-10-POLPIL-G_bracken_C.kreport
k__Bacteria	186715
k__Bacteria|p__Proteobacteria	144845
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	87692
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	47462
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	9566
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	124
k__Bacteria|p__Actinobacteria	29254
k__Bacteria|p__Actinobacteria|c__Actinomycetia	23572
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	6
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	414
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	5261
k__Bacteria|p__Firmicutes	4386
k__Bacteria|p__Firmicutes|c__Bacilli	4386
k__Bacteria|p__Chloroflexi	22
k__Bacteria|p__Chloroflexi|c__Ktedonobacteria	22
k__Bacteria|p__Armatimonadetes	6
k__Bacteria|p__Armatimonadetes|c__Fimbriimonadia	5
k__Bacteria|p__Armatimonadetes|c__Chthonomonadetes	1
k__Bacteria|p__Deinococcus-Thermus	2
k__Bacteria|p__Deinococcus-Thermus|c__Deinococci	2
k__Bacteria|p__Acidobacteria	4932
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	4932
k__Bacteria|p__Bacteroidetes	1991
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	1032
k__Bacteria|p__Bacteroidetes|c__Cytophagia	568
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	384
k__Bacteria|p__Bacteroidetes|c__Chitinophagia	6
k__Bacteria|p__Gemmatimonadetes	31
k__Bacteria|p__Gemmatimonadetes|c__Gemmatimonadetes	31
k__Bacteria|p__Planctomycetes	1234
k__Bacteria|p__Planctomycetes|c__Planctomycetia	1228
k__Bacteria|p__Planctomycetes|c__Phycisphaerae	6
k__Bacteria|p__Chlamydiae	5
k__Bacteria|p__Chlamydiae|c__Chlamydiia	5
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Eukaryota	50168
k__Eukaryota|k__Viridiplantae	47477
k__Eukaryota|k__Viridiplantae|p__Streptophyta	47470
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	43837
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	3632
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	7
k__Eukaryota|k__Viridiplantae|p__Chlorophyta|c__Chlorophyceae	7
k__Eukaryota|k__Metazoa	2311
k__Eukaryota|k__Metazoa|p__Chordata	2311
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	2311
k__Eukaryota|k__Fungi	379
k__Eukaryota|k__Fungi|p__Ascomycota	331
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	54
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	129
k__Eukaryota|k__Fungi|p__Ascomycota|c__Dothideomycetes	43
k__Eukaryota|k__Fungi|p__Ascomycota|c__Eurotiomycetes	104
k__Eukaryota|k__Fungi|p__Basidiomycota	47
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	47
k__Archaea	1
k__Archaea|p__Euryarchaeota	1
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	1
k__Viruses	1
k__Viruses|k__Bamfordvirae	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota	1
k__Viruses|k__Bamfordvirae|p__Nucleocytoviricota|c__Megaviricetes	1
