#Classification	S-16-POLJUN-B_bracken_P.kreport
k__Bacteria	936618
k__Bacteria|p__Cyanobacteria	206183
k__Bacteria|p__Actinobacteria	164373
k__Bacteria|p__Firmicutes	4534
k__Bacteria|p__Chloroflexi	85
k__Bacteria|p__Armatimonadetes	22
k__Bacteria|p__Deinococcus-Thermus	18
k__Bacteria|p__Tenericutes	3
k__Bacteria|p__Proteobacteria	524275
k__Bacteria|p__Acidobacteria	19774
k__Bacteria|p__Bacteroidetes	11485
k__Bacteria|p__Rhodothermaeota	29
k__Bacteria|p__Chlorobi	1
k__Bacteria|p__Gemmatimonadetes	213
k__Bacteria|p__Candidatus_Cloacimonetes	1
k__Bacteria|p__Planctomycetes	4367
k__Bacteria|p__Verrucomicrobia	1200
k__Bacteria|p__Chlamydiae	21
k__Bacteria|p__Kiritimatiellaeota	1
k__Bacteria|p__Candidatus_Saccharibacteria	19
k__Bacteria|p__Nitrospirae	5
k__Bacteria|p__Elusimicrobia	1
k__Eukaryota	5821
k__Eukaryota|k__Metazoa	1645
k__Eukaryota|k__Metazoa|p__Chordata	1645
k__Eukaryota|k__Fungi	1631
k__Eukaryota|k__Fungi|p__Ascomycota	1136
k__Eukaryota|k__Fungi|p__Basidiomycota	495
k__Eukaryota|k__Viridiplantae	2536
k__Eukaryota|k__Viridiplantae|p__Streptophyta	2504
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	32
k__Eukaryota|p__Euglenozoa	7
k__Eukaryota|p__Cercozoa	1
k__Archaea	8
k__Archaea|p__Euryarchaeota	8
k__Viruses	4
k__Viruses|k__Heunggongvirae	4
k__Viruses|k__Heunggongvirae|p__Uroviricota	4
