#Classification	W-1-POLJUN-G_bracken_P.kreport
k__Bacteria	946135
k__Bacteria|p__Proteobacteria	672850
k__Bacteria|p__Actinobacteria	136570
k__Bacteria|p__Cyanobacteria	325
k__Bacteria|p__Firmicutes	479
k__Bacteria|p__Deinococcus-Thermus	20
k__Bacteria|p__Armatimonadetes	1
k__Bacteria|p__Bacteroidetes	100974
k__Bacteria|p__Acidobacteria	34701
k__Bacteria|p__Planctomycetes	152
k__Bacteria|p__Verrucomicrobia	14
k__Bacteria|p__Chlamydiae	7
k__Bacteria|p__Spirochaetes	38
k__Eukaryota	100775
k__Eukaryota|k__Viridiplantae	94703
k__Eukaryota|k__Viridiplantae|p__Streptophyta	94628
k__Eukaryota|k__Viridiplantae|p__Chlorophyta	75
k__Eukaryota|k__Metazoa	4888
k__Eukaryota|k__Metazoa|p__Chordata	4888
k__Eukaryota|k__Fungi	1179
k__Eukaryota|k__Fungi|p__Ascomycota	952
k__Eukaryota|k__Fungi|p__Basidiomycota	227
k__Eukaryota|p__Bacillariophyta	2
k__Eukaryota|p__Cercozoa	1
k__Archaea	3
k__Archaea|p__Euryarchaeota	3
