#Classification	S-2-POLPIL-G_bracken_P.kreport
k__Bacteria	20763
k__Bacteria|p__Proteobacteria	18419
k__Bacteria|p__Actinobacteria	1206
k__Bacteria|p__Cyanobacteria	409
k__Bacteria|p__Acidobacteria	666
k__Bacteria|p__Bacteroidetes	50
k__Bacteria|p__Planctomycetes	10
k__Eukaryota	1900
k__Eukaryota|k__Viridiplantae	1695
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1695
k__Eukaryota|k__Metazoa	185
k__Eukaryota|k__Metazoa|p__Chordata	185
k__Eukaryota|k__Fungi	19
k__Eukaryota|k__Fungi|p__Ascomycota	19
