#Classification	SRR20002373_bracken_P.kreport
k__Bacteria	237888
k__Bacteria|p__Proteobacteria	225408
k__Bacteria|p__Actinobacteria	2538
k__Bacteria|p__Firmicutes	9684
k__Bacteria|p__Deinococcus-Thermus	141
k__Bacteria|p__Bacteroidetes	115
k__Eukaryota	167
k__Eukaryota|k__Metazoa	88
k__Eukaryota|k__Metazoa|p__Chordata	88
k__Eukaryota|k__Fungi	63
k__Eukaryota|k__Fungi|p__Ascomycota	18
k__Eukaryota|k__Fungi|p__Basidiomycota	45
k__Eukaryota|k__Viridiplantae	16
k__Eukaryota|k__Viridiplantae|p__Streptophyta	16
k__Viruses	1
k__Viruses|k__Heunggongvirae	1
k__Viruses|k__Heunggongvirae|p__Uroviricota	1
