#Classification	SRR20002445_bracken_P.kreport
k__Bacteria	1858775
k__Bacteria|p__Firmicutes	1095221
k__Bacteria|p__Actinobacteria	69398
k__Bacteria|p__Deinococcus-Thermus	1167
k__Bacteria|p__Cyanobacteria	7
k__Bacteria|p__Proteobacteria	691094
k__Bacteria|p__Bacteroidetes	1727
k__Bacteria|p__Chlamydiae	67
k__Bacteria|p__Verrucomicrobia	6
k__Bacteria|p__Fusobacteria	50
k__Bacteria|p__Nitrospirae	30
k__Bacteria|p__Spirochaetes	3
k__Bacteria|p__Candidatus_Saccharibacteria	3
k__Eukaryota	3137
k__Eukaryota|k__Fungi	1285
k__Eukaryota|k__Fungi|p__Basidiomycota	1198
k__Eukaryota|k__Fungi|p__Ascomycota	87
k__Eukaryota|k__Metazoa	424
k__Eukaryota|k__Metazoa|p__Chordata	424
k__Eukaryota|k__Viridiplantae	1426
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1426
k__Eukaryota|p__Apicomplexa	1
k__Archaea	2
k__Archaea|p__Crenarchaeota	2
k__Viruses	161
k__Viruses|k__Heunggongvirae	161
k__Viruses|k__Heunggongvirae|p__Uroviricota	161
