#Classification	SRR20002340_bracken_P.kreport
k__Bacteria	423814
k__Bacteria|p__Proteobacteria	377599
k__Bacteria|p__Actinobacteria	23743
k__Bacteria|p__Firmicutes	21776
k__Bacteria|p__Deinococcus-Thermus	216
k__Bacteria|p__Cyanobacteria	5
k__Bacteria|p__Bacteroidetes	460
k__Bacteria|p__Chlamydiae	10
k__Bacteria|p__Fusobacteria	2
k__Eukaryota	4723
k__Eukaryota|k__Metazoa	2230
k__Eukaryota|k__Metazoa|p__Chordata	2230
k__Eukaryota|k__Fungi	1486
k__Eukaryota|k__Fungi|p__Basidiomycota	955
k__Eukaryota|k__Fungi|p__Ascomycota	531
k__Eukaryota|k__Viridiplantae	1006
k__Eukaryota|k__Viridiplantae|p__Streptophyta	1006
k__Eukaryota|p__Euglenozoa	1
k__Viruses	26
k__Viruses|k__Heunggongvirae	26
k__Viruses|k__Heunggongvirae|p__Uroviricota	26
